RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1709.5652,15774390.0,1704.661,641.173583984375,2,1,36.0,9,150424.875,1,1,1,122179.805,0
6833.8237,15598724.0,709.5257,760.8139038085938,1,1,76.401405,8,139029.4375,1,0,0,178605.84,1
9705.847,15664731.0,2436.6055,718.8534545898438,2,0,31.0,8,0.0,2,1,1,22166.227,0
6572.255,15672610.0,2635.261,678.449951171875,0,0,26.797922,7,116257.0078125,2,1,0,69573.77,0
3531.9502,15610910.0,1230.7833,558.8610229492188,1,0,35.0,7,161139.765625,1,1,1,168789.25,0
656.1054,15578675.0,1816.4534,710.0,2,1,43.0,1,71630.15625,1,1,1,5428.867,0
5056.8647,15800907.0,1110.6569,633.2050170898438,0,0,58.032574,5,0.0,1,1,0,132759.33,1
6819.51,15790834.0,659.0231,684.0,0,0,36.71626,7,0.0,1,0,0,135028.67,0
390.99673,15609805.0,1334.189,528.0255737304688,2,1,32.0,5,85364.4609375,1,1,0,177868.1,1
5727.877,15625548.0,2200.5588,779.9130249023438,0,0,42.0,5,0.0,2,1,1,48318.574,1
7962.2173,15636325.0,1229.6005,616.0706176757812,1,0,42.0,2,110123.34375,2,1,1,177421.86,0
7329.325,15669446.0,1419.9298,605.439697265625,0,1,55.0,7,130332.1875,1,1,1,36091.008,0
9341.601,15752516.0,2571.8418,704.983642578125,1,0,27.699997,6,131776.5,2,1,1,139488.64,0
9932.585,15645818.0,346.21747,634.5101318359375,1,1,47.0,8,108357.140625,1,0,0,194494.67,0
4823.8403,15571088.0,1611.3904,465.6759948730469,0,0,36.0,6,0.0,1,1,1,124399.23,0
7871.823,15660630.0,292.67722,568.4571533203125,0,0,24.0,4,0.0,1,1,0,136959.25,0
766.70135,15566207.0,1337.8917,679.0,0,1,27.0,1,135200.84375,1,1,1,48506.492,0
805.1106,15613465.0,1345.0482,457.90716552734375,1,0,48.51999,9,0.0,1,1,1,176193.61,0
9636.998,15748904.0,319.9205,448.0705261230469,0,0,30.0,9,133058.84375,2,1,1,36703.22,0
6589.929,15758067.0,2476.1104,679.0,0,0,30.0,8,183901.578125,2,0,1,95551.56,0
5997.758,15783269.0,2046.1593,602.6280517578125,1,1,50.37559,3,128414.9375,2,1,0,72593.1,0
8580.047,15755363.0,529.57544,484.0826110839844,2,0,35.0,6,0.0,1,1,1,48505.297,0
8639.504,15810499.0,902.86285,795.8133544921875,2,0,58.74848,6,91949.8203125,1,1,1,180907.55,0
1178.4861,15614902.0,1813.574,488.3472595214844,0,0,19.707573,3,185246.078125,1,1,0,195965.75,0
4040.0718,15569108.0,1869.21,607.9773559570312,0,0,30.0,3,138301.21875,1,1,0,47417.637,0
893.8994,15746307.0,550.46484,608.501220703125,0,0,55.360382,3,0.0,2,1,1,147953.7,0
7077.9004,15574092.0,2594.792,601.0,0,0,39.0,4,0.0,1,0,1,145348.89,0
8704.186,15569327.0,1757.1036,565.8109130859375,0,1,48.0,6,78866.65625,1,1,0,164518.12,0
6180.013,15590508.0,2836.1323,515.345947265625,0,0,44.0,4,171029.890625,1,0,1,19289.934,0
7338.198,15691006.0,2661.4998,545.1925659179688,1,0,29.0,8,130216.796875,1,1,0,116839.195,0
6731.124,15720708.0,2772.9739,589.9406127929688,0,1,78.785,9,171807.25,2,1,1,3595.1025,0
5840.8535,15783423.0,2596.9783,790.2991943359375,2,1,75.51205,7,0.0,1,0,1,23297.166,1
3589.0737,15747297.0,1052.7798,534.8763427734375,0,1,40.0,7,137386.84375,1,1,1,89047.27,0
2536.5098,15695618.0,850.48193,532.940185546875,2,1,42.0,1,0.0,1,0,1,58580.133,0
3325.6392,15728424.0,609.58154,626.7365112304688,0,0,40.0,2,132781.25,1,0,0,16232.663,1
216.3866,15787842.0,2323.2554,688.3030395507812,0,1,29.0,9,0.0,1,1,1,138045.88,0
3570.7742,15811114.0,1308.3467,510.578369140625,0,1,42.0,9,0.0,2,1,0,185383.0,0
5183.1875,15750049.0,1338.4055,554.0,0,0,40.0,4,141509.765625,2,0,0,23992.62,0
2772.1099,15645557.0,1992.2241,689.0717163085938,0,1,51.0,5,154657.140625,1,0,1,110920.086,0
9627.452,15694446.0,1588.2574,602.645263671875,2,1,28.0,3,0.0,2,1,0,67916.91,0
7765.9604,15756498.0,281.8451,711.9029541015625,2,1,27.0,10,0.0,2,0,0,172321.06,0
8159.8525,15691251.0,2009.9617,588.02490234375,0,1,36.0,5,0.0,1,1,1,143683.42,0
7675.0454,15805473.0,1093.7719,708.5606689453125,2,1,43.0,3,0.0,2,1,0,75544.1,0
3881.7888,15725881.0,1822.5287,563.4066162109375,0,1,34.0,7,135569.234375,2,1,1,78519.19,0
8456.577,15725537.0,1721.6714,764.9268798828125,1,0,59.0,10,116901.96875,1,1,0,199709.11,0
2072.4275,15808078.0,2108.216,689.6277465820312,0,1,55.0,6,72919.90625,1,1,0,152734.12,0
7981.95,15646649.0,988.8523,744.1293334960938,2,1,32.0,9,0.0,2,1,1,36045.56,0
4619.452,15736577.0,1752.9698,609.6243896484375,0,1,62.0,2,0.0,2,1,1,58895.79,0
7417.8154,15661262.0,1412.8058,720.9209594726562,0,1,71.30771,3,111923.7421875,1,1,1,133241.69,0
9247.873,15772059.0,1622.7511,765.4600219726562,0,1,25.331667,7,136945.984375,1,1,1,60448.613,0
2276.5642,15639493.0,1236.0586,850.0,0,0,39.0,1,113220.3203125,1,1,0,114562.76,0
2836.868,15713121.0,2293.0242,615.3690795898438,0,0,57.58205,10,110584.0234375,2,0,0,199028.7,0
6398.242,15588991.0,2914.561,712.112060546875,0,1,36.0,8,0.0,1,0,0,54485.43,0
4852.7295,15812174.0,2893.8286,551.21142578125,0,1,34.0,9,0.0,1,1,1,45161.668,0
8810.288,15794450.0,1473.5809,676.0506591796875,0,1,31.0,7,128106.4765625,1,1,0,191700.08,0
6962.1914,15636377.0,1586.2407,850.0,0,0,44.0,8,145473.703125,1,0,1,52037.63,0
6409.052,15595399.0,687.6874,656.2312622070312,2,0,60.0,4,102600.2265625,1,1,1,49292.492,0
268.97287,15604352.0,2853.6482,506.5257263183594,1,1,26.0,1,106483.625,2,1,0,95897.9,0
426.40643,15589218.0,2116.9646,351.03076171875,0,0,35.0,5,0.0,2,1,1,40451.37,0
6915.647,15754040.0,396.93365,621.4105224609375,2,0,30.0,2,126590.5625,2,0,0,133210.72,0
