feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,label
4.56925,0.235519,119.308,0.262987,0.00589623,0.227003,1.40801,0.726786,3.69803,0.262968,4.55438,56.3546,0.774712,0.0856537,5.78827,642.535,0.362888,7.30144,0.246014,0.634035,-1.57586,0.326722,130.414,4.19584,0.420044,-0.438021,23.4206,1.37627,0.181869,0.947193,6.22996,2.12762,1.66029,299.035,0.142271,0.336548,0.0948956,-2.20689,1.29513,0.0592677,131.715,-33.1057,1.3572,3.16276,0.00784656,0.185293,0.28389,2.5508,1.09811,0.199389,1
4.37384,0.469195,141.773,0.26776,0.0170132,0.172491,1.14906,0.939736,3.34952,0.192391,4.16384,177.796,0.934396,0.173802,3.17383,655.691,1.28514,49.3115,0.282751,0.434127,1.68396,0.372943,25.636,4.8081,0.484172,0.291337,34.3855,1.18362,0.152601,-0.195037,5.11149,1.19201,0.512623,438.607,0.0548927,0.347219,1.18755,-3.53674,1.63912,0.0770171,137.981,4.27628,-0.0546951,3.1293,0.0145631,0.190657,-1.65609,1.82113,7.37879,0.246842,1
3.01381,0.494369,65.9777,0.36027,0.0436105,0.138292,1.12365,0.789286,3.55655,0.153521,4.05615,-0.318848,0.449115,0.171123,1.4971,890.046,0.590303,43.5105,0.253915,0.263252,-0.106584,0.361848,184.272,4.91717,0.479618,-0.335398,3.26364,1.47575,0.140136,0.215673,10.1232,1.1605,0.293715,271.959,0.0982727,0.345119,1.17291,-2.48431,1.64532,0.0719579,147.805,3.80429,0.544603,4.30607,0.192905,0.0658444,0.280015,1.89505,0.625839,0.209793,1
3.13124,1.26088,441.703,0.251217,0.0330935,0.32715,0.857377,0.842166,3.33625,0.216619,3.99297,127.409,0.431366,0.210936,2.83666,589.631,0.468314,34.2889,0.238806,0.844387,0.854863,0.242915,62.1942,4.77225,0.392727,-0.286223,44.5772,1.16953,0.07243,0.159688,4.62017,1.08525,1.24838,365.688,0.0911192,0.266124,-0.216288,-2.25729,1.01851,0.089645,170.326,-30.1721,-0.132653,5.71711,0.0394089,0.173797,-0.169312,1.35423,-0.138443,0.260014,0
2.8765,1.20277,41.1745,0.242496,0.0207469,0.348072,0.933973,0.803102,3.09533,0.224343,4.40153,146.468,0.943454,0.406699,3.15635,812.306,0.697127,32.9665,0.249084,1.18243,1.38429,0.310987,71.8578,4.86596,0.482681,0.214381,420.808,1.31859,0.174369,-0.695539,6.11275,1.08221,0.764099,68.5768,0.0594359,0.306656,-0.066488,-3.67868,1.79794,0.0644723,89.4654,-12.9023,1.33367,8.13853,0.0661323,0.0834672,-1.04922,0.907263,1.38447,0.228814,1
4.54197,0.34957,80.3426,0.234436,0.0245399,0.257879,0.990104,0.81368,3.23602,0.168546,4.01742,179.812,-0.247495,0.518927,2.02162,1264.75,0.155492,13.1918,0.203324,1.02404,0.0416908,0.26742,229.598,3.46284,0.427108,0.235856,23.2455,1.39488,0.157299,0.139773,7.38985,1.66604,1.10286,497.068,0.0870487,0.315755,0.73351,-3.32258,1.25288,0.0803622,181.687,22.6832,-0.060247,6.03872,0.00160128,0.140472,-0.19908,3.06509,0.584295,0.249792,1
4.53734,0.614756,120.75,0.349122,0.0447427,0.388117,0.842718,0.87409,3.49665,0.143371,4.16416,247.942,0.420605,0.805462,2.86856,1265.17,1.16909,37.9739,0.251082,1.12416,-1.04919,0.278107,26.3165,3.10821,0.4108,-0.378638,82.6368,1.3544,0.260503,-0.64625,4.8022,0.694283,1.91752,474.501,0.0595504,0.312091,1.23934,-0.536877,1.65191,0.0534631,166.727,-45.9137,-0.301096,4.00481,0.0227671,0.137134,0.342056,1.28612,-0.896021,0.258902,1
5.12316,1.09447,13.2947,0.259048,0.0325048,0.465146,1.38367,0.892864,3.21327,0.126447,4.45594,195.046,-0.629812,0.296742,2.32323,628.952,1.16527,7.6788,0.28,1.63209,-0.178592,0.288071,115.162,3.0593,0.491132,0.108901,112.486,1.39913,0.282064,-0.479679,10.2289,0.444203,0.786317,423.86,0.154282,0.289139,2.50577,-3.37376,1.24671,0.103198,143.727,-64.1353,-0.16334,1.57764,0.103976,0.12431,0.127455,0.589482,-0.0318013,0.286524,0
4.32197,1.01382,560.191,0.263322,-0.00176991,0.19021,0.908101,0.733309,3.50863,0.129829,4.44574,-0.284302,0.897408,0.32757,2.9291,1320.4,0.251361,39.1427,0.265408,0.577375,1.04684,0.358608,47.4901,8.02611,0.464906,0.382013,164.914,1.06327,0.140705,0.0122039,6.10314,1.22865,0.63567,474.124,0.0920766,0.282297,1.36426,-3.84584,1.58977,0.106777,131.091,-1.00888,-0.0542891,4.78649,0.112033,0.140224,0.225054,9.48881,0.339922,0.208558,1
6.9093,1.54589,208.434,0.263854,0.0385093,0.503611,1.17676,0.748311,3.13389,0.0965709,4.11918,238.624,0.892454,0.230574,3.89443,980.413,0.693884,110.507,0.369565,1.28608,-0.110285,0.2871,116.764,3.09659,0.475834,0.667841,189.66,3.26667,0.115672,0.130239,4.67335,0.636972,0.578788,357.637,0.0145906,0.347849,0.648259,-2.6449,1.40855,0.0426724,134.105,-19.531,-0.575777,6.0741,0.0245399,0.293488,0.111769,0.90046,0.691282,0.253408,1
4.09375,1.78689,135.415,0.252371,0.0404722,0.458522,0.715528,0.808688,3.58666,0.130886,4.18847,352.667,0.636307,0.146711,1.75857,554.767,0.77491,8.13802,0.216992,0.790649,0.21283,0.293126,71.7997,4.38372,0.464355,-0.0219869,20.47,1.3912,0.136538,-0.148073,4.00658,1.56983,1.09913,159.366,0.190973,0.346972,0.00925809,-2.97711,1.41576,0.106264,146.484,-51.2724,1.32382,4.06581,0.00407056,0.0301377,0.129976,0.803226,1.64061,0.232455,1
5.88983,5.37453,124.861,0.282811,0.0131148,0.487375,0.867436,0.881679,3.21933,0.191675,4.08829,243.86,-0.901298,0.277113,1.5085,549.319,0.334898,14.292,0.402827,1.11622,0.737326,0.281899,95.3572,3.36398,0.395115,0.254808,6.84687,1.32556,0.202427,-0.203616,8.26014,1.012,0.615734,335.25,0.0999397,0.314269,0.230503,-3.72461,0.980652,0.0935207,140.483,4.27731,0.271328,6.00218,0.00164204,0.177651,0.244289,4.72713,0.479219,0.162218,1
4.48222,1.63371,1.07697,0.2512,0.0161812,0.117064,0.760155,0.824822,3.35942,0.239187,3.1225,181.413,0.908894,0.0559759,3.58611,3530.47,1.14322,38.001,0.244417,-0.145677,-0.0193309,0.292191,84.4528,4.11702,0.44175,1.64465,233.038,1.70776,0.315888,0.226757,5.33669,1.479,2.60756,448.54,0.0268249,0.354031,0.491095,-3.29996,1.08869,0.0769451,66.8871,-37.5719,-0.0692106,5.7322,0.037037,0.149888,-0.878392,0.765394,1.3232,0.15054,0
3.64787,0.440675,269.328,0.382734,0.0,0.504176,1.13337,0.720424,3.60556,0.258865,4.33219,333.721,0.99886,0.190743,3.03828,697.399,0.235398,39.4523,0.207965,0.518434,0.856672,0.335775,95.494,4.77845,0.453786,-5.79686,48.1875,2.05358,0.182973,-0.532454,10.1451,1.29215,1.21996,481.363,0.0306682,0.372359,3.19181,-4.40902,1.22791,0.133469,176.72,-17.2821,0.790144,4.8456,0.0254314,0.142818,0.00128049,3.90285,1.1346,0.170853,1
3.96804,1.87383,115.981,0.309095,0.0314534,0.428673,0.865959,0.889979,3.40017,0.212527,4.1812,-0.459595,0.990187,0.53997,1.74246,2170.06,1.96167,39.4294,0.33652,0.655649,0.670817,0.317774,194.473,3.14961,0.49167,0.239833,66.9035,1.29533,0.0976682,0.469157,8.67277,1.10761,2.44195,273.345,0.0513179,0.280621,1.25858,-3.08992,0.847504,0.0802024,135.846,-31.3197,0.183937,3.89511,0.00099108,0.0833216,-0.0647219,1.35106,0.0427253,0.147496,0
6.68782,0.967686,5.04222,0.191276,0.0149533,0.286848,1.40517,0.926047,3.47367,0.156811,4.07302,43.6054,0.964196,0.235309,2.96561,502.672,1.33919,7.44483,0.25344,0.115983,0.957807,0.384707,32.1971,4.87817,0.485293,0.0836895,2.42543,1.53359,0.114834,0.208806,7.0988,1.48304,0.577575,254.174,0.076453,0.374838,0.877968,-1.4122,1.33148,0.0193245,172.326,14.0569,0.354813,3.7753,0.00153374,0.149548,-0.373281,1.09897,2.32045,0.206598,1
3.97907,2.53331,59.2286,0.252401,0.0255282,0.472196,1.07075,0.669424,3.08587,0.17802,4.4017,154.672,-0.203893,0.773907,2.42669,945.164,0.393883,14.9835,0.312232,0.822658,-2.34684,0.264657,153.604,4.66555,0.491201,-5.20772,3.47495,1.77526,0.126347,0.109835,5.93227,0.630461,0.531472,253.463,0.0661874,0.196197,0.378529,-4.25177,1.01957,0.0692338,120.173,7.55155,1.80813,4.59169,0.00153846,0.220474,0.162812,3.48274,-0.212354,0.150914,0
