feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,label
3.91746,0.983697,386.727,0.253333,0.0253759,0.0209257,1.6117,0.868217,3.5038,0.177931,4.21256,41.8398,0.423393,0.0652525,2.23314,1302.56,1.17628,82.6526,0.234141,1.50537,0.221825,0.343075,175.45,3.43204,0.363773,0.362699,16.7023,1.78866,0.234441,-0.282873,7.31672,0.931833,0.550511,467.13,0.070302,0.253848,0.358591,-3.2432,1.23804,0.068124,138.163,-15.696,3.71265,10.4452,0.114323,0.0817445,0.357252,1.91856,-0.0803151,0.292141,1
3.1829,1.19969,22.9979,0.249283,0.0195783,0.292584,0.904717,0.915322,3.25311,0.225772,4.13333,21.0606,0.303046,0.174019,3.65328,865.167,2.83365,16.9527,0.319231,1.57907,-0.0767465,0.298487,40.0213,4.05447,0.459759,0.733598,60.9515,1.86103,0.210203,-0.439884,5.03175,0.691325,1.33343,492.933,0.0749422,0.316006,3.00819,-4.00188,1.21311,0.132614,155.956,-15.8799,1.37665,2.50325,0.00195312,0.195077,-0.665238,1.89493,2.44187,0.199103,1
3.00486,0.263912,225.935,0.214148,0.0156394,0.235637,1.18731,0.828055,3.28053,0.131509,4.13445,119.268,0.99265,0.186643,3.16988,689.427,0.438256,6.57602,0.215352,0.552285,1.72998,0.296378,111.065,3.45277,0.454281,0.457124,105.555,1.52391,0.180373,0.209779,8.64418,1.99228,2.76139,295.836,0.0584568,0.381553,0.115215,-2.26516,1.65139,0.0728553,137.166,-31.9668,0.369045,5.78524,0.0198413,0.0687395,0.0989593,1.23619,-0.129192,0.222216,1
4.27082,0.170827,123.248,0.213617,0.0304636,0.146461,0.866139,0.881978,3.75984,0.18588,4.30617,242.634,0.510423,0.866496,2.7383,2797.71,0.199239,19.9898,0.246871,0.629161,0.177948,0.218137,427.027,2.6461,0.499357,0.0609843,98.1899,1.69705,0.120944,-0.311618,4.72648,1.60363,0.611714,434.886,0.115134,0.341197,0.43886,-2.17037,1.45255,0.0779473,132.804,-32.1893,0.66581,5.58996,0.00377003,0.236853,0.153245,1.57354,0.700384,0.136362,0
3.76362,3.84658,12.3069,0.233786,0.00645995,0.464597,1.28346,0.763238,3.54124,0.164178,4.10457,95.2042,0.854822,0.32815,1.80423,909.018,0.00375057,8.73487,0.214936,1.00427,1.39173,0.33844,206.743,4.08884,0.352608,0.254808,188.859,1.74955,0.136792,0.30963,6.76812,1.16758,0.803318,435.193,0.106487,0.403025,-0.376877,-1.73928,1.24208,0.0491063,120.259,11.5459,-0.941572,6.54205,0.035503,0.112657,0.142634,2.49625,0.483658,0.205517,1
3.44022,1.48994,11.3302,0.264347,0.0290493,0.252801,0.595849,0.894392,3.594,0.191737,4.276,298.517,0.802464,0.170359,2.25206,1424.1,0.281604,24.5827,0.257005,1.21662,1.34428,0.293718,43.8404,5.06326,0.48894,-0.111926,145.278,1.59606,0.124899,0.240037,5.558,0.8005,1.61679,437.861,0.0172497,0.345049,0.404341,-2.47008,1.52243,0.156729,157.179,-9.28194,0.641019,6.76559,0.00868307,0.197523,-0.293491,1.62183,0.115056,0.29306,1
2.82365,0.419671,80.8493,0.294811,0.00498753,0.11665,0.691029,0.783527,3.50065,0.184198,4.45405,-0.284546,0.788321,0.190917,2.63711,592.41,0.941409,8.80032,0.277603,-0.386716,-0.684377,0.310597,99.1844,6.61297,0.411539,-0.0564768,97.1175,1.40322,0.126902,-0.0970205,7.71808,0.282539,0.291317,433.875,0.152659,0.284859,0.939143,-2.5962,0.975504,0.0786584,177.164,-52.1065,0.121318,28.6871,0.0253411,0.127335,0.394234,1.46494,4.23421,0.207438,1
2.82387,1.7236,100.598,0.207929,0.00618557,0.398951,1.11331,0.859876,3.5408,0.116689,4.55251,112.554,0.0758932,0.285404,2.13974,987.889,1.01374,45.8624,0.310016,0.825782,0.750738,0.348442,60.1313,4.6272,0.468682,-0.605641,90.4388,1.5232,0.195677,0.128216,6.95468,1.45953,0.530092,417.488,0.0704281,0.231801,0.590026,-2.93908,0.979922,0.102055,197.858,-22.2608,-0.0909522,2.30107,0.0278114,0.242397,-0.11566,0.692568,0.789206,0.275872,1
3.49204,1.67458,9.34832,0.358777,0.0349947,0.490857,1.44937,0.897725,3.48891,0.122683,4.35266,358.793,0.579847,0.241021,2.87393,690.404,0.442164,20.857,0.291892,0.47871,-0.811514,0.309059,41.1667,3.83198,0.489,-0.611167,135.159,1.18623,0.21713,-0.751537,5.94704,1.6818,0.481802,329.934,0.0507648,0.299566,0.471237,-4.18631,1.46238,0.167229,112.852,11.8811,-0.069025,2.47698,0.0018797,0.11508,0.485033,2.02511,15.6293,0.32409,0
3.07708,0.65243,33.5192,0.265356,0.00830565,0.106283,1.35593,0.729255,2.84499,0.206215,4.24415,260.507,0.940178,0.254612,2.62485,562.28,0.938927,8.25614,0.143027,0.422184,-0.391564,0.27101,322.911,5.87991,0.357922,0.992061,56.3529,1.31979,0.208322,-0.743408,7.4143,0.70636,0.649591,358.799,0.0339109,0.328589,0.0165076,-3.43322,1.10853,0.149712,197.162,-29.646,2.49391,9.85739,0.102867,0.256437,-0.539083,3.86864,2.25803,0.228227,1
