longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-118.22554016113281,33.814064025878906,36,1221,509,718,180,1.9261527061462402,0,136593.45147113685
-118.18739318847656,34.234397888183594,42,1769,445,1033,301,2.171881914138794,0,196267.78429819262
-117.9658203125,34.0981559753418,33,2170,472,1478,256,4.834054946899414,0,213190.60376731717
-122.29888916015625,37.8807373046875,34,5998,1031,1666,828,4.654238224029541,3,173255.47202405383
-117.82347869873047,33.869300842285156,32,1218,330,856,214,3.4737977981567383,0,162383.11302936453
-117.64859771728516,33.95439910888672,43,1223,396,838,234,2.8638129234313965,0,81748.41691285977
-119.51705932617188,35.450836181640625,21,2363,394,1708,376,3.3203489780426025,0,138210.08353406203
-120.3946533203125,35.824913024902344,21,3102,680,1182,447,4.629509449005127,4,268672.2791931038
-121.67068481445312,37.763893127441406,47,10342,1237,4973,1121,7.520471096038818,3,340602.2191285824
-122.39339447021484,37.68644332885742,44,3688,590,1503,418,6.869676113128662,3,414191.3689557342
-118.80211639404297,34.84075164794922,19,3913,602,2532,554,5.657836437225342,0,270500.7718174614
-121.64837646484375,37.58157730102539,25,3187,555,1051,379,2.7747254371643066,0,213477.27217141358
-117.35100555419922,34.80482482910156,45,1736,539,956,364,2.6184284687042236,1,89466.87032889228
-116.73938751220703,34.20759201049805,31,3514,844,1732,844,2.5859944820404053,1,69159.1827798732
-117.7987289428711,33.81978225708008,18,3022,526,2092,358,4.068041801452637,0,230874.38423287153
-120.983154296875,38.31422805786133,27,1007,202,599,207,2.0102903842926025,1,93953.62515069303
-121.30267333984375,37.289695739746094,30,2981,318,702,305,5.054927349090576,0,371854.08795870305
-121.65855407714844,36.6793212890625,19,2077,424,1078,313,4.048271179199219,0,192986.2241019358
-117.42571258544922,33.480464935302734,28,2311,524,1930,388,4.997823715209961,0,182317.5713269137
-122.12242126464844,37.850128173828125,51,1482,172,608,179,4.545114040374756,3,495832.2634634981
-116.62220001220703,33.07847595214844,5,3247,392,791,221,6.473726272583008,0,272170.39972099435
-120.84033966064453,35.7235107421875,10,2877,477,1257,417,6.891341209411621,0,230184.65254797603
-119.35034942626953,34.75054168701172,22,1727,437,908,380,4.543842315673828,0,136961.55019129335
-118.31665802001953,33.75337600708008,29,2161,454,1043,403,2.819652557373047,0,217133.9744963553
-120.91156768798828,37.63866424560547,44,2063,479,1185,354,2.5495660305023193,1,98240.08884007286
-121.12149810791016,38.045318603515625,18,1161,184,496,167,3.0509629249572754,1,375071.255756595
-116.52901458740234,32.745506286621094,6,14456,1984,3039,1370,9.386446952819824,4,363037.1153065757
-120.56568145751953,35.92051315307617,13,9759,1492,2442,1296,2.4527547359466553,0,193593.23533569166
-117.95773315429688,33.84592819213867,31,1549,639,1384,315,2.7622807025909424,0,137117.42204862236
-119.65233612060547,36.44625473022461,18,1285,297,622,227,2.1579878330230713,1,94314.89864602347
-117.76705932617188,35.22178268432617,19,1960,415,873,244,1.166532039642334,1,177060.84005593526
-120.79042053222656,37.82477951049805,23,944,208,566,165,2.228917121887207,1,78135.33120849749
-118.32649230957031,34.12333297729492,15,2124,387,967,234,4.4248857498168945,0,221683.55343785346
-122.02143859863281,37.38291931152344,50,1328,308,521,224,1.7681593894958496,3,246935.83153677394
-121.50286102294922,38.09568786621094,41,5600,931,2721,993,2.4713892936706543,3,207101.45027639106
-119.70675659179688,36.454654693603516,15,2089,421,1302,244,3.2855794429779053,1,118374.29407196873
-117.73216247558594,33.9276008605957,39,717,140,277,103,3.847334623336792,0,63880.83482618115
-119.2305679321289,34.248958587646484,31,3125,516,1056,412,9.927988052368164,4,496217.1579606198
-117.87622833251953,33.535579681396484,42,5497,1074,2462,957,5.913706302642822,0,159623.19396799203
-122.2528076171875,37.808494567871094,51,1434,373,714,377,1.7365984916687012,3,221596.11191306153
-117.19878387451172,34.06684112548828,26,1797,508,652,300,1.8733681440353394,1,89089.65483864876
-122.37642669677734,38.0511589050293,49,4238,595,1342,503,7.176249027252197,3,379472.96402363654
-120.79767608642578,36.46784591674805,38,2146,637,1417,421,2.158886194229126,3,163222.8043037054
-116.89988708496094,32.84342956542969,29,2928,438,679,386,4.516368389129639,4,139517.5140383956
-117.66091918945312,33.60618209838867,33,1224,329,709,232,4.040485858917236,0,226540.75222491915
-120.93424224853516,38.014381408691406,42,1203,246,821,270,3.886215925216675,1,66018.49509747735
-121.56105041503906,36.58582305908203,21,4974,856,1603,994,2.969066858291626,4,273331.2388124318
-121.51365661621094,37.70307540893555,26,627,208,283,89,1.3033884763717651,4,144718.55926330312
-121.45732879638672,37.810516357421875,19,1846,367,1172,272,3.1923556327819824,0,153602.96017058103
