sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,rings
2,0.5227300757731373,0.34170079806817155,0.10381494391605355,0.222781261117249,0.0735480281713484,0.0842001160421613,0.0884490212005464,8
0,0.6865125739423987,0.5040918882747256,0.17864223805995116,1.0802500441380587,0.3467918026067708,0.3560292579024554,0.21861343232105346,10
1,0.5916693018913379,0.48942123512673275,0.18203620717050456,1.5338076278779367,0.4523442777393389,0.2413558625156696,0.24852859567408422,10
1,0.5997753858079173,0.4069030318973922,0.23870607419099898,0.9626757759106531,0.5664899877094071,0.16123777901099864,0.39395494902035577,11
0,0.2455616476989149,0.2473373931932816,0.10995628542656488,0.4187557327397819,0.23209746611485757,0.0479678360282367,0.13688673677461677,7
2,0.1759168616658896,0.09571856277382773,0.08564253332963079,0.30162405067284687,0.05563960182052813,0.0029775544920356903,0.02888488838615324,6
1,0.4276596585827953,0.39580087909542866,0.11402853817195854,1.1109261726256319,0.29509924347982824,0.12706037607814077,0.10732799703012835,14
2,0.22238033637211435,0.14641538255460185,0.058984135583137545,0.19949977405397346,0.022203627450280913,0.0584233898255124,0.019780413144389525,5
0,0.6423205901458894,0.531469950232326,0.21543054581488247,1.0604862952779772,0.6023534924934387,0.45350886768918863,0.371209320450809,16
0,0.5203304955163738,0.4461124335513526,0.17411099004468333,0.9760474765139252,0.19808048298225026,0.2657215956313334,0.17459451757694427,10
1,0.5753888074426269,0.4030739306700946,0.09180969968201667,0.9818809804099007,0.13590480642970615,0.1004218053817919,0.10956528750465636,11
0,0.1627443387868521,0.1979280235048918,0.11858018943884595,0.4019546572189374,0.015171521523723946,0.041848770486869906,0.02979032389920839,6
0,0.3613321083457048,0.3368437869569841,0.0509371144103101,0.1001194309156709,0.12804882574464405,0.061913160625223465,0.02785230068852715,12
0,0.6364004579835119,0.5064044918287156,0.18617343130882855,1.5458563866351827,0.6906238385249492,0.39994171674510837,0.3076711102711646,10
0,0.7094955951413893,0.6395063949745923,0.21558665081829495,2.0177995358974314,0.826399277600171,0.5058800991069714,0.2934913692311457,9
2,0.6451703685240442,0.42411539073815385,0.15306547556421154,1.3423482864368395,0.5590543638042894,0.08032873212325599,0.2642632164065945,8
1,0.6157366420421542,0.5517227493344563,0.12475618510183462,1.0810193268832031,0.2533012811642675,0.09963813294559046,0.2636938716143637,10
1,0.5273001339982996,0.21217344302649915,0.11017286192604324,0.11024905509811433,0.0808648052672871,0.046012849501816486,0.05372493256890306,17
0,0.617396906837876,0.5277746750538592,0.17021031833017675,1.953555541350045,0.43324196860289316,0.2518813552417042,0.3004424437628513,8
2,0.5126884441672983,0.39545199369406236,0.10637065540627189,0.7497263883364448,0.29085268808045667,0.08236380504750133,0.15629527756859068,8
2,0.47758296270640554,0.29658612983792976,0.08732776736427818,0.2605714913239437,0.2190355967121777,0.006359276795409097,0.14422309313621262,7
1,0.7604750330381214,0.5412636125794,0.18256481525797258,1.8418628550544494,0.6932351265561469,0.3355609084644516,0.2410950867113364,10
1,0.4286627847131218,0.3712692892959058,0.09732505613296696,0.5186985599995059,0.48549570018610966,0.21293358421126882,0.32677994660919024,8
1,0.3054537196169573,0.24832054816156343,0.0725061816754018,0.5599464663617745,0.11458030951239809,0.058724076720919144,0.10498845850637153,9
0,0.676382285495833,0.5048876835402357,0.17399911494466386,1.417783136128411,0.7363501341695072,0.461764255746448,0.32931184973415895,12
0,0.6329009004286463,0.4836118247902762,0.19842162032970673,1.30720441228494,0.49202630197257063,0.2618183987082246,0.2646469524815425,11
0,0.6083955606086183,0.4967902466289076,0.2065989546328909,1.7119670721786964,1.037680232499831,0.5164282467444071,0.4748955866950867,10
2,0.48259876398085644,0.40849823117491657,0.08077651548897147,0.4709052703019098,0.17817369851891665,0.17848805513982988,0.22016128521230519,8
2,0.4344881163401552,0.3646894988330553,0.14647949581795103,0.3660672417564561,0.149482958412797,0.10066247522100766,0.0890866163943087,9
2,0.5458394785579249,0.3462167242455066,0.11942666237832664,0.5561475304868202,0.16332890572550096,0.15051180802594885,0.09437858666296475,8
1,0.22493203176681864,0.38218407351785083,0.11045908944144867,0.547353249898592,0.15184919388857251,0.10638218065853547,0.17899793512349718,14
0,0.5901165063364957,0.4871264400704371,0.14501031921969443,1.277816047890306,0.1738703971417781,0.16120329295675292,0.33363981665236825,18
2,0.4453635807667412,0.2300850670238029,0.12759413168560088,0.09044085072162841,0.12164191227040763,0.01604778190291557,0.037368592893182576,8
2,0.2507025503304409,0.15606737655118907,0.07965783244072035,0.5463638450152871,0.2397396629879037,0.06186090433757559,0.09414410030778853,7
1,0.641994759510966,0.35453812454065303,0.1545905312530688,0.37136248378919046,0.16655466186088325,0.16855182755628917,0.14647016801206703,10
1,0.4350257360513962,0.3542975941958335,0.17046703996954193,0.3926702503622722,0.24039206613653102,0.042568630462836085,0.16475787600317943,11
1,0.6355118884144891,0.49573592029131763,0.1316950170431639,0.841479388504748,0.7765446928657121,0.2635020297284212,0.3609080268744558,15
0,0.5129163705802039,0.37122401220702866,0.15174222308498503,0.3658901642830014,0.4089023936552395,0.24137654439753572,0.16850110372322383,13
0,0.20676355663076298,0.12503738944398513,0.06498016008751754,0.42890745012976245,-0.006315126525851353,0.018584595073347112,-0.008666552308677772,6
2,0.2988720062798252,0.3445001499356563,0.14687308127566084,0.5773476557648319,0.3118594959604723,0.09194934302404846,0.22979627984096307,9
