RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
8658.02,15583309.0,785.4075,1,0,39.0,10.0,106419.28,1.0,1,1,163742.1,1
8645.047,15803650.0,681.265,1,0,44.0,3.0,106970.35,1.0,1,1,117106.74,1
3494.174,15756284.0,765.75574,1,1,44.0,7.0,114275.125,1.0,0,0,182366.11,1
57.044712,15605442.0,633.55334,0,2,46.0,8.0,163609.64,1.0,1,0,105460.71,1
4823.8286,15589708.0,624.192,0,1,32.0,6.0,149633.66,1.0,1,1,152298.83,0
9364.138,15590663.0,822.865,0,0,26.0,2.0,0.0,2.0,1,1,172858.81,1
2336.1604,15656403.0,740.9155,0,0,33.0,4.0,0.0,2.0,1,1,26973.334,0
3550.1196,15738512.0,712.3624,0,0,47.0,2.0,121806.414,2.0,1,0,110024.55,1
8890.641,15569367.0,612.9157,0,1,33.0,6.0,103571.125,2.0,0,1,116658.14,0
6032.0513,15723068.0,711.9107,0,0,33.0,6.0,0.0,2.0,1,1,196477.2,0
6789.877,15568181.0,850.0,0,0,41.0,5.0,0.0,2.0,1,1,155100.84,1
4625.312,15593580.0,736.5538,0,2,33.0,3.0,0.0,2.0,0,0,192130.47,0
7265.669,15762397.0,707.4969,0,0,32.0,7.6334066,135391.03,2.0,1,0,164098.9,1
1132.37,15798063.0,557.1841,0,0,39.0,7.0,0.0,2.0,0,1,121274.695,1
9480.886,15628650.0,517.8446,0,0,23.0,4.797537,127969.48,1.0,0,0,80716.94,1
1683.3806,15669391.0,749.7287,0,0,39.0,1.0,125785.25,1.0,1,1,72101.29,1
3167.3289,15722424.0,709.34467,0,0,34.0,8.0,0.0,1.0,1,0,33747.79,1
7510.5845,15705677.0,783.7451,0,0,69.73149,8.0,0.0,2.0,1,1,79959.94,1
6866.298,15663559.0,850.0,0,0,60.0,2.0,0.0,2.0,0,0,61417.1,0
5757.5176,15669040.0,697.52704,1,2,32.0,5.0,127635.39,1.0,1,1,191366.27,0
1514.3317,15638118.0,503.90927,0,2,42.0,9.0,0.0,2.0,1,1,190081.66,0
6164.407,15677206.0,597.5386,0,2,59.0,7.0,99065.73,1.0,0,1,145426.78,1
6368.4907,15669663.0,503.2786,0,2,37.0,2.0,138376.67,2.0,1,0,103420.92,0
5048.0605,15718490.0,738.22797,0,0,39.0,7.0,0.0,2.0,0,0,98446.95,0
929.94086,15612282.0,652.2625,0,1,31.0,8.0,145018.25,1.0,1,1,196890.8,1
6656.5664,15740870.0,738.11743,0,0,34.0,9.0,131860.61,1.0,1,0,86180.28,1
6982.4507,15708163.0,492.6545,0,0,32.0,2.0,124642.19,1.0,1,1,98663.414,1
142.09691,15705734.0,850.0,0,0,43.0,10.0,143595.62,1.0,0,1,15811.503,0
7911.924,15812974.0,535.5509,0,0,33.0,6.0,102642.81,1.0,1,0,15573.727,0
131.53903,15584211.0,720.64453,0,1,38.49133,6.0,127414.24,2.0,1,0,150705.03,1
6056.4893,15712088.0,537.4122,0,2,34.0,6.0,144822.94,1.0,1,1,75455.65,1
697.344,15665604.0,768.87,1,0,42.0,1.0,0.0,1.0,0,1,166802.3,0
2397.3008,15635340.0,529.3786,0,1,39.96194,2.4191146,146969.22,1.0,0,0,85621.95,1
2141.9365,15782035.0,592.5241,1,0,51.29387,8.0,0.0,1.0,0,1,7168.5503,0
407.49716,15781390.0,645.6815,1,1,40.0,4.0,111582.29,1.0,0,1,95652.59,1
2622.1719,15687077.0,713.27374,1,0,34.0,3.0,90268.164,1.0,0,1,14282.1045,1
8741.295,15645638.0,646.163,0,2,34.0,1.0,0.0,1.0,1,1,110155.93,1
8524.354,15786702.0,565.173,1,1,34.0,1.0,114070.66,1.0,1,1,57528.797,0
7867.423,15687317.0,411.52124,0,0,24.181112,9.0,129146.52,1.0,0,1,133409.66,1
6564.474,15632055.0,602.05914,1,2,45.0,10.0,117275.484,1.0,0,1,158683.55,0
8246.953,15636651.0,639.81213,0,1,56.4238,5.0,128364.85,2.0,0,1,128107.87,0
2327.1616,15799037.0,568.937,0,0,21.059765,1.0,82896.13,1.0,0,1,65486.383,1
7598.884,15708845.0,711.24615,0,1,26.0,5.0,119041.73,2.0,0,0,74756.94,1
3840.252,15596140.0,592.0,0,0,36.0,7.0,0.0,2.0,1,1,196.99953,0
5891.348,15611140.0,668.84827,0,2,44.0,5.576916,172858.6,1.0,1,0,112588.75,1
7433.29,15629027.0,625.73126,0,1,38.0,3.0,151024.67,2.0,1,1,191109.6,0
9405.502,15607021.0,676.93964,0,0,35.0,9.0,0.0,2.0,1,1,90708.85,1
2973.4749,15794953.0,558.7628,1,1,31.0,2.0,122046.24,1.0,1,0,148654.12,0
2677.9717,15768569.0,850.0,0,0,37.0,8.0,140072.89,1.0,1,0,151108.98,0
7257.0127,15705998.0,660.6221,0,1,30.0,6.0,108501.73,2.0,0,0,124030.86,0
5856.61,15628808.0,699.4555,1,0,53.36146,1.0,107994.77,1.0,0,1,1811.6147,0
718.9388,15665521.0,687.19995,0,0,28.0,8.0,0.0,2.0,0,1,28433.48,0
5661.894,15698104.0,617.5497,0,2,24.0,7.0,78887.53,2.0,1,1,129000.625,1
547.18445,15768060.0,506.25485,0,0,39.0,5.0,0.0,2.0,1,1,2018.9403,0
