RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
4084.5247,15737800.0,739.83685,0,0,61.068424,2.0,106239.516,1.0,0,1,66692.445,1
3144.5994,15592397.0,717.8323,0,0,37.0,10.0,0.0,2.0,1,1,152248.38,1
698.14954,15736038.0,538.8298,1,0,46.0,5.0,0.0,2.0,1,0,192760.94,0
5669.927,15645553.0,619.6887,1,2,37.0,0.0,159424.08,1.0,1,0,3704.4766,1
5217.447,15724577.0,666.86053,1,0,40.0,2.0,158593.67,1.0,0,0,55659.152,1
1024.3639,15590700.0,554.69446,1,0,45.184086,8.0,0.0,2.0,1,0,100272.125,0
9152.59,15793791.0,732.299,0,1,37.0,7.0,115834.71,2.0,0,1,4427.057,1
8847.346,15649335.0,786.785,0,0,37.0,4.0,130510.62,1.0,0,1,27275.164,0
8907.245,15762394.0,557.8705,1,1,26.0,10.0,183101.1,1.0,0,1,108262.12,1
1716.8181,15568099.0,705.50824,0,1,32.0,4.0,175310.47,2.0,0,0,142414.98,1
3900.1357,15621693.0,578.38257,0,1,21.0,1.0,61521.543,1.0,0,0,117245.16,0
4183.2983,15605162.0,730.29315,0,1,40.0,1.0,75458.695,1.0,1,1,73459.37,1
9561.717,15799189.0,549.9047,0,0,42.0,4.0,0.0,2.0,1,1,35909.01,0
3607.1096,15790051.0,827.1631,0,0,33.0,9.0,0.0,2.0,0,0,152513.94,0
6320.265,15763942.0,656.2361,0,2,35.0,10.0,116699.87,1.0,1,1,174386.45,1
6151.2227,15587395.0,660.7876,0,0,29.0,7.0,102290.555,1.0,0,0,177955.38,1
1674.4927,15675806.0,820.7843,0,1,36.0,9.0,141926.1,2.0,0,1,6297.777,1
5064.289,15600686.0,641.2194,0,1,28.0,0.0,125068.28,1.0,1,1,78883.26,1
5200.521,15574114.0,656.36597,0,2,31.72388,8.0,0.0,2.0,0,1,148124.73,0
8571.914,15599644.0,720.4149,1,2,44.960644,5.0,0.0,1.0,1,1,112554.39,0
6907.934,15800743.0,781.60486,0,2,31.0,4.0,0.0,2.0,0,1,40908.6,1
783.47925,15760166.0,591.9842,0,0,34.0,4.0,51151.73,1.0,1,1,12070.117,1
5425.59,15726052.0,492.89044,1,1,37.0,10.0,109977.97,1.0,0,1,170542.64,0
6015.637,15665513.0,544.5467,0,0,38.0,5.0,0.0,1.0,1,1,10398.524,0
6196.763,15720758.0,448.78064,1,1,40.0,1.0,95987.305,1.0,1,1,57965.754,1
6673.333,15639692.0,630.7187,0,2,30.0,0.0,165763.16,1.0,0,1,29251.793,0
3017.9785,15583456.0,547.5844,1,0,40.0,1.0,0.0,1.0,0,1,61007.566,0
727.09375,15584694.0,631.43396,0,0,30.0,6.0,0.0,1.0,1,1,76257.06,1
5892.67,15641704.0,620.22675,0,0,31.0,8.0,125399.33,1.0,1,1,3277.9622,0
1865.1364,15785485.0,632.6519,0,0,35.0,1.1177903,0.0,2.0,1,1,116339.71,1
8067.127,15806385.0,586.159,0,2,56.0,7.0,86175.03,1.0,0,1,67495.32,1
4666.953,15743432.0,591.7211,0,0,29.0,5.0,127054.805,1.0,1,0,151811.89,1
1396.9596,15782624.0,751.6966,0,2,18.123533,9.06988,0.0,2.0,0,1,130386.64,0
5976.0337,15735407.0,834.1794,1,1,27.42528,5.0,125645.336,1.0,1,1,20781.805,1
4795.589,15725034.0,499.63336,1,1,38.0,4.0,97594.65,1.0,1,1,51885.234,1
5261.799,15796396.0,600.87244,0,0,33.0,6.0,0.0,2.0,0,1,20621.25,1
7222.1655,15580915.0,759.52625,0,1,33.0,3.0,137614.98,2.0,0,1,35920.938,1
3550.9702,15669398.0,850.0,0,2,31.0,8.0,91223.51,1.0,1,1,175992.42,0
9592.273,15634173.0,604.76215,0,0,31.0,6.0,145152.8,1.0,1,0,80035.195,1
8494.352,15745749.0,698.4911,0,1,40.0,1.0,114142.69,1.0,1,1,81272.26,1
4728.091,15749630.0,577.4804,0,1,26.0,9.0,151870.03,2.0,0,1,8108.476,0
7364.953,15748506.0,533.86475,0,0,33.0,3.0,0.0,1.0,1,1,896.3081,1
4238.156,15613385.0,564.40686,0,0,40.0,5.0,110755.98,2.0,1,1,36877.66,0
7294.653,15799611.0,828.17566,0,1,35.0,9.0,135271.66,2.0,0,1,28200.22,1
9314.909,15667863.0,644.58325,1,2,28.0,9.0,48997.137,2.0,1,0,117470.445,1
9043.157,15662643.0,679.221,1,0,31.0,3.3265967,81525.06,4.0,0,1,116229.695,0
