date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
268298.47,3.0,2.5,2000.0,7200.0,2.0,0,0,3,7,1967.9181,0.0,1987.0,0.0,98023,47.360237,-122.312454,1850.0,7620.796
309719.28,4.0,1.5,1090.0,59401.418,2.0,0,0,3,7,1090.0,0.0,1984.0,0.0,98188,47.366158,-122.151,1580.0,8116.7017
585192.94,3.0,1.0,1650.0,11245.606,1.0,0,0,3,7,1648.4546,0.0,1954.0,0.0,98059,47.58761,-122.17462,2722.7578,15543.485
751094.8,4.0,3.5,5236.6733,35138.64,1.0,0,0,3,10,3052.7104,1992.5139,1979.0,0.0,98122,47.7673,-122.18551,3906.0496,14224.297
555223.75,2.0,2.5,2352.3245,5771.767,2.0,0,0,3,9,2294.4993,0.0,2001.0,0.0,98112,47.587273,-122.173,1940.0,7129.864
287113.66,3.0,1.0,1091.4406,18033.299,1.0,0,0,4,8,1051.8798,0.0,1947.0,0.0,98008,47.563393,-121.968956,1380.0,13684.288
435073.66,3.0,1.0,1180.0,5509.6904,1.0,0,0,3,6,1150.0,0.0,1944.0,0.0,98146,47.690475,-122.315,1480.0,7135.488
405940.84,4.0,2.75,2220.0,3048.9272,2.0,0,0,3,7,2262.6458,0.0,2014.6738,0.0,98146,47.490044,-122.36034,1530.0,5000.0
199966.5,2.0,1.75,1600.0,8554.406,1.0,0,0,3,7,1570.0,0.0,1979.0,0.0,98168,47.491413,-122.31908,1459.8809,7606.5273
439286.1,3.0,2.25,1600.9471,14801.2705,1.0,0,0,3,7,1120.0,550.0,1980.0,0.0,98059,47.692608,-122.14608,1890.0,13860.114
535000.0,3.0,1.0,2020.0,4480.8477,1.0,0,0,4,7,970.0,1178.7472,1930.0,0.0,98118,47.590725,-122.299,1710.0,4500.0
531927.3,3.0,1.75,1600.0,5754.955,1.0,0,0,5,7,1150.0,303.7599,1933.4495,0.0,98116,47.585926,-122.39789,1570.0,5240.0415
672422.44,3.0,2.5,2610.0,6739.655,2.0,0,0,3,9,2535.7153,0.0,2005.0,0.0,98033,47.69022,-122.213,2277.0425,5120.8447
