date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
414311.53,3.0,2.25,1127.7467,572.3205,3.0,0,0,3,8,1130.0,0.0,2012.0,0.0,98144,47.630108,-122.359,1280.0,1349.6241
325205.72,4.0,2.0,2191.5618,6600.0,1.0,0,1,3,7,1320.0,1036.4574,1949.0,0.0,98005,47.4619,-122.324,1790.0,6380.013
739848.3,2.0,1.75,2590.0,115968.23,1.0,0,3,4,8,1580.0,1022.10345,1984.0,0.0,98072,47.597416,-122.0846,3230.6333,89437.516
358887.22,3.0,1.0,1370.0,5561.8926,1.0,0,0,3,7,1120.0,562.75464,1939.0,0.0,98146,47.522877,-122.384,1380.0,5657.826
258610.64,3.0,1.75,1580.0,75516.69,1.0,0,0,3,7,1490.0,0.0,1983.0,0.0,98059,47.361927,-122.118,1940.0,48195.75
606592.25,4.0,2.75,3018.1135,48097.54,2.0,0,0,3,9,2983.1816,0.0,1999.0,0.0,98075,47.504753,-122.0443,2477.7048,41055.082
525000.0,3.0,2.0,2190.0,16231.902,1.0,0,0,3,8,2218.562,0.0,2004.0,0.0,98053,47.69572,-122.024055,1820.0,67408.97
439131.56,4.0,2.5,2650.0,3857.616,2.0,0,0,3,8,2247.4321,530.0,2008.0,0.0,98022,47.468292,-121.87948,2782.531,4500.0
420201.22,5.0,3.25,3619.034,8446.515,2.0,0,0,4,7,2436.4736,1494.9993,1970.0,0.0,98004,47.755077,-122.293,1460.0,5198.4375
219775.6,3.0,1.75,1590.0,14213.425,1.0,0,0,4,7,1620.0,0.0,1963.0826,0.0,98022,47.32053,-122.032166,1973.0895,15631.3955
702664.3,5.0,4.1761336,4406.7627,78592.19,2.0,0,0,3,10,2981.112,1574.6747,2003.0,0.0,98030,47.375286,-122.17,3573.3188,38253.215
689998.0,3.0,1.0,2040.0,5819.623,1.0,0,3,5,8,1370.0,712.5256,1955.9779,0.0,98033,47.645542,-122.21035,2230.0,6320.5356
159285.45,2.0,1.0,1200.0,6004.824,1.0,0,0,3,6,1131.3872,0.0,1929.1774,0.0,98003,47.3829,-122.302,1120.9032,7565.3984
269488.47,3.0,1.0,1690.0,9607.21,1.0,0,0,3,7,1113.831,750.0,1959.0,0.0,98166,47.441322,-122.33,1210.0,8815.277
185017.36,2.0,1.0,932.82605,5126.4854,1.0,0,0,5,6,935.79724,0.0,1922.9489,0.0,98166,47.485813,-122.29,980.0,5288.734
529864.7,4.0,2.5,2160.606,9569.346,1.0,0,0,4,9,1230.0,1016.37634,1976.0,0.0,98144,47.653282,-122.168,1747.4597,9917.704
93861.96,3.0,1.0,1716.9222,19852.797,2.0,0,0,3,6,1810.0,0.0,1908.2235,0.0,98056,47.42159,-122.114,1210.0,9698.8
516845.0,3.0,2.5,3315.0317,4081.4097,2.0,0,0,3,8,3283.9553,0.0,1900.0,1991.622,98118,47.58803,-122.299,1660.0804,6849.577
559916.5,3.0,2.0,2357.272,8892.967,1.0,0,0,3,6,1150.0,1041.1964,1925.0,2010.549,98198,47.499302,-122.316,1994.2058,8682.563
455368.28,3.0,2.5,1783.9348,3796.4824,2.0,0,0,3,8,1260.0,661.82135,1998.0,0.0,98126,47.56876,-122.37438,1940.0,4540.9497
385422.3,3.0,1.0,1060.0,6428.4497,1.0,0,0,3,6,1010.0,0.0,1989.9491,0.0,98178,47.509552,-122.21594,986.19763,8007.3154
870890.06,3.0,2.25,2605.2727,16074.821,2.0,0,0,5,9,2359.9343,427.53326,1979.0,0.0,98027,47.529785,-122.08411,2902.1145,8457.17
659923.7,3.0,1.75,1660.0,5124.2324,1.0,0,0,3,7,1200.0,413.59216,1944.0,0.0,98117,47.676147,-122.38966,1622.085,4000.4844
639986.75,3.0,3.0,3007.7397,4223.5454,2.0,0,2,4,8,1797.6681,1215.3381,1972.7535,0.0,98108,47.554348,-122.346,2060.0,4800.0
406390.4,5.0,1.0,1520.0,13395.619,1.0,0,0,3,7,1530.0,0.0,1951.0,0.0,98125,47.728306,-122.29882,1480.0,10667.922
711538.0,4.0,3.0,3330.996,13968.756,2.0,0,0,3,9,3291.5325,0.0,1983.0,2014.8527,98075,47.527817,-122.09666,2364.026,10250.262
588619.9,5.0,1.5,2180.0,7571.1567,1.5,0,0,3,7,1753.6097,600.0,1948.0,0.0,98177,47.6935,-122.297,2074.1284,7998.3574
850628.1,4.0,3.5,3359.9604,219367.31,2.0,0,0,3,10,3474.8281,0.0,2003.0,0.0,98011,47.76948,-122.185425,2530.0,211335.7
450000.0,3.0,2.5,2390.0,4187.2183,2.0,0,0,3,8,2330.5918,0.0,2006.0,0.0,98058,47.522827,-122.08107,2401.3557,4278.2036
287876.6,3.0,1.75,1900.0,7515.061,1.0,0,0,4,7,1230.0,894.48474,1952.0,0.0,98022,47.321117,-122.126526,1610.0,10072.698
599490.6,3.0,1.75,2644.2937,10374.422,1.0,0,2,4,8,1410.0,1103.2516,1964.0,0.0,98014,47.700935,-122.21617,2128.8196,11052.998
1070061.6,3.0,2.25,2754.1365,12499.288,1.0,0,2,4,10,2806.4912,0.0,1970.0,0.0,98008,47.55208,-122.120415,3763.301,12460.117
420888.2,4.0,2.5,2379.4253,200333.03,1.0,0,0,3,9,2440.0,0.0,1952.3835,2009.242,98023,47.38303,-122.27225,2410.0,7054.8438
650965.2,4.0,1.75,2807.4807,10351.99,1.0,0,0,3,8,1403.31,1377.0553,1961.0,0.0,98008,47.56209,-122.1284,2050.0,11213.614
329700.8,3.0,1.75,1390.0,9600.0,1.0,0,0,4,7,1380.0,0.0,1969.0,0.0,98058,47.748466,-122.1239,2004.2448,10799.809
450000.0,4.0,2.25,2720.0,10501.126,2.0,0,0,3,8,2686.6292,0.0,1955.6552,0.0,98031,47.51262,-122.17516,2320.0,9999.1
832234.6,4.0,3.0,3177.388,229997.2,1.0,0,0,3,9,3130.231,0.0,1996.0,0.0,98053,47.649525,-121.96476,2085.377,30312.193
474067.6,2.0,1.0,1700.0,5000.0,1.0,0,3,4,7,819.1052,1262.3917,1939.0,0.0,98023,47.51139,-122.365,1780.0,5262.9995
339308.28,3.0,2.5,1680.0,9600.35,1.0,0,0,3,7,1060.0,782.65063,1959.2101,0.0,98146,47.50163,-122.3457,2230.0,10197.276
270000.0,4.0,2.0,1729.6078,6306.697,1.0,0,0,3,6,960.0,800.0,1960.0,0.0,98118,47.655518,-122.21235,2360.0,6605.0415
1057718.8,4.0,2.5,3282.0757,9066.337,1.0,0,3,3,9,1490.0,2079.134,1967.0,2003.8625,98155,47.700443,-122.30855,2704.7266,8370.15
584377.9,3.0,2.5,2580.997,6368.0757,1.0,0,0,3,7,1860.0,863.41943,1989.0,0.0,98014,47.719852,-122.16161,1920.0,6192.8276
430891.66,3.0,1.75,1780.0,10109.381,1.0,0,0,3,7,1300.0,630.0,1957.0,0.0,98155,47.73796,-122.314835,1300.4963,10123.841
504851.5,3.0,1.0,2037.6086,23621.273,1.3281028,0,0,3,7,2150.0,0.0,1948.0,0.0,98119,47.556007,-122.062195,2396.93,15963.758
