Age,Experience,Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard
61.0,37.0,133.38585,2.0,2.4,0,0.0,1,0,0,0
54.0,30.0,103.70596,1.0,0.0,0,0.0,1,0,0,1
58.0,34.745132,31.24109,2.0,0.9,0,0.0,3,0,0,0
30.811695,5.0091934,34.557465,1.0,1.9,0,0.0,3,0,0,1
51.06961,26.0,74.193115,1.0,2.2,0,0.0,1,0,0,1
60.66647,36.0,60.514393,3.0,1.4,0,0.0,1,0,0,1
48.0,20.84709,83.0,1.0,2.4,0,108.870705,3,0,0,0
34.0,8.019983,140.65935,3.0,6.3731766,1,319.26474,2,0,1,1
27.0,3.0,81.0,4.0,2.6,0,235.26012,3,1,1,1
46.0,20.860209,48.35187,3.0,1.6293718,0,102.04065,1,0,0,0
56.0,28.0,154.71315,3.0,5.3060308,1,0.0,3,1,1,1
53.0,26.497404,59.0,2.0,1.9,0,244.26663,3,0,0,0
58.0,30.970938,50.442165,1.0,1.3509002,0,117.684746,2,0,0,0
57.0,32.12263,40.497993,3.0,0.9,0,0.0,1,0,0,1
35.638233,12.0,68.84821,2.0,2.67144,0,0.0,1,0,0,0
63.0,38.0,53.900806,3.0,1.3,0,0.0,2,0,0,1
57.0,32.0,48.35259,2.0,1.5,0,0.0,1,0,0,1
28.0,1.0,27.912575,4.0,1.3513108,0,0.0,2,0,0,1
53.0,28.0,81.96657,1.0,1.1,0,0.0,3,0,0,1
39.0,12.0,189.57693,2.0,1.1054984,1,255.59047,3,0,0,0
61.664463,38.472668,104.425545,1.0,0.0,0,0.0,3,0,0,1
38.0,14.0,34.93909,3.0,0.2,0,0.0,1,1,0,1
35.0,10.690338,40.0,3.0,1.4067271,0,0.0,1,0,0,0
29.0,5.0,181.03079,1.0,4.1837683,1,0.0,2,0,0,0
57.0,34.0,29.0,4.0,1.3,0,0.0,2,0,0,0
37.499023,13.0,92.82148,1.0,0.1,0,0.0,3,0,0,0
45.0,19.0,25.664892,3.0,0.2,0,0.0,2,0,0,1
54.0,27.274096,45.0,4.0,2.3,0,0.0,3,0,0,1
57.0,32.0,85.66744,1.0,1.7,0,81.61793,2,0,0,1
34.0,9.0,30.0,1.0,0.2,0,0.0,3,0,0,1
61.0,36.0,45.75153,3.0,2.4695368,0,0.0,1,0,0,0
28.984804,4.391832,152.10005,1.0,6.0555453,0,0.0,1,0,0,1
30.674557,5.0,72.32529,2.0,2.5,0,229.40268,2,0,0,1
26.55703,3.0,11.120238,4.0,1.4,0,0.0,3,0,0,1
58.0,32.0,92.326996,3.0,1.6816729,0,282.561,1,0,0,1
