index,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left
7950.0,4,707,2,1,0,5,0,1,13.75,46.0
3267.6558,0,1216,2,0,0,3,0,1,10.211696,39.0
3999.0,2,1089,2,2,0,5,0,1,6.0750346,43.0
7065.785,1,68,2,4,1,2,4,1,10.203389,27.0
8111.606,2,1533,2,4,0,0,0,1,3.274385,15.0
3988.0,2,1472,2,2,2,2,4,1,2.17,36.0
2410.0,5,812,2,0,2,2,5,1,2.17,17.0
2410.0,0,1187,2,2,0,1,0,1,12.5,37.0
5955.0,5,1539,2,1,0,0,3,1,5.653474,26.0
5547.3716,1,1165,2,2,0,4,5,1,15.510631,24.0
6395.0,2,988,5,4,0,5,2,1,10.33,10.72915
9840.0,0,961,2,0,0,5,0,1,8.712478,18.0
2361.1953,4,1409,5,5,2,5,2,1,2.0,22.0
4501.0,1,874,2,0,0,2,0,1,8.0,34.0
4242.9497,3,1380,2,2,2,5,0,1,2.5,19.0
6179.9727,2,1013,2,0,0,1,4,1,16.5,30.0
14880.0,5,1474,2,0,0,5,5,1,9.211958,4.0
6296.0,2,1038,2,0,0,5,0,1,7.5,12.0
3195.1597,4,1419,2,4,0,2,0,1,7.92,45.0
4462.981,2,949,2,4,0,1,1,1,16.0,40.0
7820.8306,4,1406,2,4,0,2,0,1,24.230555,48.0
4230.0,2,1084,2,2,0,3,0,1,5.33,35.0
5772.0,5,1523,2,2,0,0,5,1,21.497753,30.0
11520.0,2,961,2,0,0,5,5,1,8.17,7.0
4501.0,2,1038,2,0,0,5,5,1,9.870604,49.0
2410.0,1,791,2,2,2,5,5,1,2.25,45.0
2339.0,3,799,5,1,0,4,2,1,5.08,31.0
5387.1577,3,899,2,2,2,5,5,1,2.17,3.0
6433.516,0,1014,2,0,0,5,5,1,6.1162944,14.0
5772.0,2,1480,5,4,0,5,2,1,12.75,30.127945
12338.633,1,752,2,0,0,4,4,1,18.33,7.0
9323.42,5,1484,2,1,1,2,4,1,11.58,24.0
11369.9795,5,1523,2,2,0,5,5,1,5.42,10.0
5954.0,5,1482,5,5,0,4,2,1,12.58,27.0
3754.0,1,798,2,0,0,4,5,1,15.17,34.0
4880.5156,1,84,2,0,0,0,5,1,26.42,33.0
3820.2407,0,1222,2,1,1,0,4,1,8.17,45.0
