longitude,latitude
-118.430115,34.22
-121.95695,37.737164
-119.64489,36.775093
-116.987976,32.8
-122.10376,37.10765
-118.22,34.1
-118.18,34.11
-122.20193,38.033646
-118.19869,34.06
-120.44255,37.852493
-118.032555,33.761612
-121.51312,36.76102
-118.20019,33.96
-118.390816,34.03
-122.16455,37.736145
-116.949486,32.82245
-121.87,37.32
-121.776276,36.8159
-117.96,33.76
-122.41175,37.66093
-122.14,37.75
-121.829475,38.528114
-120.95768,37.68936
-120.03705,37.484745
-122.47,37.72
-122.18127,37.760155
-122.45837,37.72
-117.375854,33.91
-121.46983,38.92125
-117.338455,34.02
-121.93,37.32936
-117.572395,34.17
-118.5729,36.247215
-121.46963,38.122864
-117.11,34.403954
-121.94,37.96
-118.34,33.92
-121.84,40.50174
-122.22,37.77
-117.28052,33.62487
-121.361725,38.360325
-118.15957,33.850952
-121.10659,39.217255
-119.18858,38.68914
-119.79639,34.34466
-122.06361,37.78
-122.22632,37.78
-122.14,37.942028
-118.13,34.07
-121.62456,37.968628
-122.18,38.030205
-117.15,33.340492
-117.97863,33.779617
-117.13,32.79
-121.12155,37.66
-121.94,37.35
-118.26305,34.04
-118.203384,33.78
-118.12844,33.882988
-121.91476,36.978863
-121.95878,38.63892
-118.34,34.26
-121.348595,38.455326
-121.612144,37.73
-117.01893,32.79
-118.256615,34.051956
-122.07,37.88
-120.57731,37.12837
-119.20578,36.037945
-120.61429,37.397774
-122.272,38.245335
-122.42,37.62679
-120.479546,34.708458
-118.927284,34.2
-124.08502,38.643856
-118.31231,34.1
-121.23709,37.27
-120.163925,36.814983
-119.475586,36.380726
-118.27,34.173862
-117.98957,33.84
-118.4,34.15
-118.240295,34.05
-121.3717,38.90874
-122.78714,38.102905
-117.40645,33.94
-122.49934,37.711548
-117.11,32.73
-117.146484,32.76213
-117.91,33.83315
-119.32353,35.78423
-122.25,37.99385
-122.42,37.872677
-118.37,34.437218
-117.96114,33.77
-118.00953,33.96
-118.43,33.99
-122.32941,37.7713
-118.260506,33.91
-119.691154,37.577152
-120.22926,38.58106
-119.20914,35.372433
-121.23767,38.622845
-118.37,34.184616
-118.3,34.02
-121.771805,36.963886
-118.27584,34.19
-118.29,33.97
-117.39645,34.04
-118.12,34.14
-117.57414,34.1
-122.19,37.594975
-119.164314,34.25
-121.364204,36.172916
-121.7879,36.820415
-121.35334,38.35713
-121.528854,37.93
-118.08,34.126488
-121.929825,37.240433
-122.05,37.64
-117.42408,34.0743
-116.94439,32.663433
-124.00022,39.390137
-117.99,34.06
-117.29873,34.0
-119.26022,36.07835
-122.07478,37.72
-122.12928,37.696987
-118.03,33.79
-119.78934,35.94904
-118.43,34.11
-124.14796,41.80623
-121.92166,37.96
-118.12,34.06
-121.410866,38.720127
-120.357635,36.296467
-121.349106,38.573204
-121.174416,37.75
-122.26,38.10126
-117.22,32.786846
-118.34,33.95
-118.25,33.99
-118.41,34.0
-117.65266,33.96
-120.255745,37.939445
-117.86644,33.77
-121.125565,37.65007
-121.96778,37.26613
-119.024574,34.21
-122.37721,37.97
-115.39613,33.73
-119.02389,35.260067
-118.21,33.88
-118.27082,34.09
-122.471375,37.86349
-118.23065,34.17
-122.28,37.76
-122.32,37.615406
-116.923645,33.92
-121.42729,38.764668
-118.991295,34.25
-122.14639,37.93
-118.21329,34.011257
-123.24035,40.76297
-121.33871,37.972557
-122.10352,37.99401
-122.08,37.290386
-118.13152,34.20972
-122.24586,37.96
-118.0415,34.23
-117.87,33.656456
-118.556335,34.24324
-121.88926,37.228477
-120.09024,37.81958
-118.46,34.21
-122.513626,38.143963
-119.176445,36.832363
-117.08,32.601936
-121.44533,38.342377
-122.54196,37.767757
-118.43,34.07
-121.24813,38.63639
-122.48,37.78
-122.233345,37.68226
-122.5123,40.591515
-122.26,37.761017
-118.4,34.210655
-118.3,34.108402
-118.36,34.0
-118.17,33.93
-119.65632,36.592197
-117.95,34.05
-121.92,37.251846
-121.84,36.79332
-121.76323,37.33
-120.410645,36.9879
-118.9227,34.2
-121.98886,38.01857
-121.58751,36.753895
-118.00374,33.75
-122.12,37.36
-118.275856,34.02
-121.80195,39.133224
-118.08,34.01
-118.44,34.2
-117.11,32.73
-117.87784,34.14576
-118.13,33.84
-117.25,32.859783
-118.46,35.25111
-122.0942,37.95
-122.23782,37.760696
-121.3,37.8813
-117.6482,33.96
-119.69698,36.432716
-120.694855,37.295322
-122.0117,37.54
-117.07,32.724247
-118.18,33.93
-121.53529,38.633522
-118.9156,34.422928
-118.00719,33.716656
-120.88382,37.68
-122.31641,37.945663
-122.18676,37.76
-119.84203,38.73329
-118.15607,33.79
-122.340004,37.93
-122.02,37.39934
-122.45,37.881626
-121.16804,39.20213
-118.16,33.84222
-118.49435,34.25421
-122.05,37.77
-122.19,37.79
-122.147934,37.303555
-122.36165,38.467175
-121.761055,37.4616
-121.91,37.30218
-117.99847,33.67977
-121.27321,38.690247
-123.33518,39.23427
-121.4171,38.498817
-122.45424,37.753864
-120.675,36.76935
-122.164116,37.485115
-117.86013,33.75
-119.71729,34.25226
-117.204216,32.854206
-119.97192,39.005558
-118.21,34.14
-117.422455,33.97
-122.00494,40.408382
-118.50653,34.01
-117.21,32.8
-122.13483,37.678696
-121.91133,37.366165
-120.547516,37.99
-119.81575,36.96368
-124.16234,40.848015
-117.6613,33.653416
-121.34,38.668816
-122.55351,38.274067
-119.985825,36.813023
-117.937294,33.98
-122.28561,38.951794
-117.16552,33.140068
-117.943146,34.06
-120.88564,36.841774
-118.39,33.87
-118.4905,34.24113
-122.42,38.440178
-121.25248,37.80861
-121.679634,38.460617
-121.89,37.1072
-122.351494,38.25401
-118.04,33.81
-121.24788,37.68
-117.25,32.772366
-122.10596,37.089493
-121.89485,37.330338
-117.99,33.645435
-118.05339,33.80735
-117.56477,34.16
-117.27612,34.06
-118.18,34.04
-117.07282,32.55016
-118.302864,33.891933
