Age,Experience,Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard
23.199764,-2.913331,130.82137,2.0,7.9763765,0,0.0,1,0,0,0
42.0,15.0,18.154278,3.0,0.2,0,0.0,2,0,0,0
58.0,27.354841,53.927357,1.0,1.2702138,0,0.0,3,0,0,1
51.0,25.383686,183.42409,1.0,2.2,1,0.0,3,0,0,1
26.263016,-0.609988,64.60718,4.0,2.5,0,0.0,2,0,0,0
56.0,32.0,34.132946,1.0,1.7659602,0,0.0,3,0,0,0
34.0,8.660784,19.113647,4.0,0.8,0,0.0,1,0,0,1
56.757683,32.126877,9.463672,4.0,0.3,0,0.0,2,0,0,0
26.379078,3.0,56.028824,3.0,0.78410596,0,0.0,1,0,0,1
54.0,29.0,25.108467,2.0,1.1,0,87.006584,2,0,1,1
56.164383,32.0,94.155,1.0,0.8,0,0.0,1,0,0,1
60.0,35.0,45.0,3.0,1.8,0,250.57372,2,0,0,1
54.0,27.988169,127.557755,1.0,0.1,0,418.45377,1,0,0,1
63.0,36.0,92.91336,2.0,4.233652,0,128.05182,1,0,0,0
31.0,5.0,19.528175,4.0,0.4,0,149.14818,3,0,0,1
28.0,4.0,134.50471,4.0,2.7971122,1,0.0,3,0,0,1
63.0,37.0,55.700615,3.0,1.55909,0,0.0,3,0,0,0
29.523752,4.0,59.0,4.0,2.0,0,0.0,2,0,0,1
32.0,7.0,58.150463,3.0,1.7,0,0.0,2,0,0,1
43.0,17.902246,84.43749,4.0,3.6495302,1,0.0,1,0,0,0
52.559875,30.0,19.102652,4.0,0.7528924,0,94.95095,2,0,0,1
58.0,32.0,59.0,3.0,2.6985478,0,0.0,2,0,0,0
38.0,13.0,35.0,4.0,1.052492,0,0.0,1,0,0,0
27.0,0.0,48.61818,2.0,0.8,0,0.0,3,0,0,1
61.0,37.0,55.0,1.0,2.7,0,0.0,1,0,0,1
24.62958,-0.86411643,68.75429,3.0,1.5,0,0.0,2,0,0,0
37.811672,11.2554865,31.314138,1.0,0.8,0,0.0,3,0,0,1
65.0,40.75424,151.50052,1.0,3.511211,0,0.0,1,0,1,1
30.0,6.0,14.287108,1.0,0.4,0,0.0,3,0,0,0
34.0,8.026914,35.0,4.0,0.8,0,82.754616,2,0,0,0
43.339485,19.0,112.11311,2.0,2.5,0,0.0,1,0,0,0
30.245165,3.0,19.626364,1.0,0.3,0,0.0,3,0,0,0
48.0,21.354506,29.882784,3.0,0.60753477,0,0.0,2,0,0,1
33.88876,9.0,102.84804,1.0,1.3001592,0,0.0,1,0,0,1
23.209576,-0.5954173,65.0,4.0,1.4,0,151.1669,3,0,0,1
49.04272,24.0,49.04523,4.0,0.4,0,0.0,2,0,0,0
29.50873,5.0,194.65714,2.0,4.7065845,1,439.02426,2,0,0,0
61.0,36.0,31.350504,1.0,1.9175007,0,0.0,3,0,0,1
40.396908,15.0,42.65999,3.0,0.68360996,0,128.59755,2,0,0,0
59.0,32.0,159.10411,2.0,2.2,1,163.54381,1,0,1,0
48.17563,25.0,34.368706,1.0,0.0,0,0.0,1,0,0,1
60.28754,35.0,71.0,1.0,1.9450885,0,96.01222,1,0,0,1
53.0,27.0,158.36354,1.0,1.9,0,0.0,1,0,0,1
50.0,26.0,18.0,1.0,0.8,0,0.0,3,0,0,0
52.0,25.665602,35.0,1.0,0.659702,0,0.0,3,0,0,0
26.0,1.0508609,74.0,3.0,1.9732926,0,140.63339,3,0,0,1
23.428045,-1.438736,28.0,4.0,0.57061124,0,194.53488,2,0,0,1
23.001884,-2.254576,34.26847,2.0,0.1,0,0.0,2,0,0,1
31.151865,7.0,61.19298,4.0,0.4,0,0.0,1,0,0,1
62.0,38.0,33.0,2.0,0.4,0,0.0,3,0,0,1
38.0,13.0,68.15812,2.0,0.4,0,0.0,3,0,0,1
32.0,6.8215437,22.0,3.0,1.2213471,0,0.0,1,0,0,1
39.0,14.0,31.010166,4.0,0.3,0,0.0,1,0,0,1
61.0,35.0,102.265816,2.0,0.7,0,0.0,1,0,0,0
47.26483,23.0,80.02054,2.0,0.8,0,0.0,1,0,0,1
50.0,25.0,42.0,4.0,1.7,0,100.05412,2,0,0,1
29.0,5.0,121.901695,1.0,1.1,0,408.48648,1,0,0,1
43.0,17.0,60.071354,2.0,1.4,0,123.82613,3,0,0,1
57.0,32.0,41.0,3.0,1.7750053,0,0.0,1,0,0,1
34.0,8.77977,178.50597,3.0,4.3173547,1,0.0,2,1,1,1
33.93034,8.000962,175.80037,3.0,9.357092,1,326.28403,3,0,0,1
38.67194,12.287633,76.726395,3.0,1.9,0,0.0,3,0,0,1
63.0,36.0,81.469055,2.0,2.372833,0,0.0,2,0,0,0
48.0,22.0,80.224365,1.0,0.2,0,149.06549,2,0,0,1
48.0,23.0,32.364994,3.0,0.8,0,0.0,2,0,0,1
59.0,34.412632,49.344143,4.0,0.7,0,101.914314,2,0,1,1
39.0,13.0,30.120663,3.0,1.0,0,112.470276,3,0,0,1
46.0,19.527153,155.54094,2.0,4.895222,0,0.0,2,0,0,1
48.0,23.0,64.930855,1.0,1.9,0,0.0,1,0,0,1
48.0,23.0,20.0,4.0,1.7,0,119.43509,3,0,0,1
61.0,36.0,29.066809,2.0,1.8,0,0.0,3,0,0,0
61.0,36.78722,42.150665,3.0,1.0,0,0.0,3,0,0,1
43.0,17.748758,134.1666,2.0,6.4296637,0,315.5317,1,0,0,1
42.0,18.0,85.0,4.0,1.0,0,0.0,3,1,0,1
33.0,8.0,29.283802,4.0,0.3,0,0.0,1,0,0,0
27.0,1.1680343,84.0,4.0,2.588469,0,0.0,3,0,0,1
38.0,13.0,138.95947,2.0,4.560084,0,249.55928,1,0,0,0
48.344536,21.19037,81.146774,4.0,1.3165814,0,100.78466,1,1,0,0
61.47026,37.0,84.56891,1.0,0.0,0,0.0,1,0,0,1
43.0,17.0,84.347664,3.0,1.3,0,235.81221,2,0,0,1
59.0,34.352093,33.0,3.0,0.3,0,0.0,1,1,1,1
51.84638,25.0,74.0,3.0,0.7,0,273.77368,2,0,0,1
41.0,15.0,34.34888,3.0,1.5,0,139.42133,2,0,0,1
36.0,10.0,63.116505,2.0,1.5459361,0,183.27568,3,0,0,0
47.0,21.37227,82.22845,3.0,0.2,0,0.0,3,0,0,0
53.0,27.950777,40.0,1.0,1.7,0,0.0,3,0,0,1
33.0,9.0,29.0,1.0,1.7865142,0,102.29485,2,0,0,1
48.0,23.0,38.0,3.0,1.5992945,0,0.0,2,0,0,0
58.0,33.0,19.198235,3.0,0.2055045,0,119.30199,2,0,0,1
54.0,29.896324,146.1553,2.0,8.057458,0,101.3099,1,0,0,0
60.0,34.522385,35.0,1.0,1.5,0,210.57776,3,0,0,0
27.899849,2.1927,70.130516,2.0,2.8,0,0.0,2,0,0,0
27.669567,2.0,74.92978,2.0,1.7,0,0.0,2,0,0,0
54.0,30.0,25.62262,2.0,1.4729444,0,103.67612,2,0,0,1
46.0,23.0,135.33951,3.0,3.794282,1,0.0,3,1,1,0
31.0,6.4516187,55.0,1.0,2.3731775,0,94.86183,2,0,0,1
34.0,9.0,41.92792,1.0,0.2,0,0.0,3,0,0,1
39.0,13.281332,83.0,4.0,1.5,0,0.0,3,0,0,0
59.0,35.0,71.17878,4.0,2.8329184,0,122.74773,1,0,0,0
33.893394,9.0,85.0,1.0,2.2,0,287.0488,2,1,0,0
35.0,10.0,74.983185,2.0,1.7,0,120.87449,1,0,0,1
30.0,5.0,137.4141,1.0,6.062016,0,0.0,2,0,0,1
36.0,11.474965,18.0,1.0,0.3,0,0.0,2,0,0,0
35.0,9.0,135.67828,2.0,1.1,1,0.0,2,0,0,0
33.0,9.0,156.09923,2.0,4.57689,0,0.0,1,0,0,1
35.0,10.0,42.9988,1.0,1.2915361,0,0.0,1,0,0,0
35.0,9.0,73.170456,4.0,2.6,0,171.93181,3,0,0,1
35.77972,11.0,54.15187,1.0,0.6,0,0.0,3,0,0,1
47.0,22.0,98.6404,1.0,0.3,0,0.0,2,0,0,1
44.0,18.0,60.0,1.0,1.7090527,0,242.77684,1,0,0,0
35.0,11.786704,60.0,4.0,1.5,0,158.57617,1,0,0,0
50.0,25.916656,98.80229,1.0,2.7927055,1,0.0,3,0,0,1
63.0,38.0,23.267002,2.0,0.1,0,0.0,3,0,0,1
58.0,33.0,28.0,1.0,2.2,0,0.0,2,0,0,1
58.0,30.0,84.0,1.0,2.7,0,240.76147,3,0,0,1
30.0,6.0,51.0,4.0,1.3835748,0,208.00209,1,0,0,0
26.04623,3.0,81.0,4.0,2.2,0,306.8351,1,0,0,1
56.0,32.0,25.862299,4.0,0.2,0,0.0,2,0,0,1
47.0,21.0,59.086205,1.0,1.7,0,151.14067,1,0,0,0
38.488403,15.0,54.45714,1.0,0.2,0,0.0,2,0,0,0
65.14381,40.08444,28.0,1.0,1.3,0,0.0,2,0,0,1
37.0,12.0,8.676994,2.0,0.5,0,0.0,1,0,0,0
42.0,16.0,93.84055,4.0,2.0,0,0.0,3,0,0,1
42.0,17.0,43.123257,1.0,2.7,0,0.0,2,0,0,0
38.0,14.962752,113.62033,1.0,3.869093,0,0.0,1,0,0,0
54.0,28.0,51.0,2.0,0.7,0,173.7691,1,0,0,1
38.0,12.0,180.89565,1.0,8.055142,1,0.0,3,0,0,1
42.37416,18.0,83.0,3.0,3.389469,0,0.0,1,0,0,1
61.0,36.0,81.0,3.0,2.1,0,0.0,3,0,0,1
52.0,25.513554,24.916376,4.0,0.35151604,0,0.0,1,0,0,1
63.0,40.0,130.4292,3.0,2.0,1,0.0,2,1,1,1
45.0,21.0,175.04025,4.0,5.299585,1,0.0,3,0,1,1
47.659695,22.0,60.022285,1.0,0.5,0,0.0,3,0,0,1
25.428059,2.0,17.040157,3.0,0.9203036,0,0.0,3,0,0,1
33.0,8.026165,128.99734,1.0,4.561556,0,205.06729,1,0,0,0
44.0,20.733967,151.73569,3.0,3.4698396,1,460.31604,3,0,0,0
65.864365,40.912704,114.23076,2.0,0.6,0,0.0,1,0,0,0
63.17308,39.0,53.910442,1.0,2.1687016,0,0.0,2,1,1,1
48.0,23.0,191.82037,2.0,4.2070436,1,127.91869,3,0,0,0
36.5499,10.000525,43.463642,3.0,2.1,0,118.8344,2,0,0,1
59.0,35.0,71.28991,3.0,2.6770208,0,0.0,1,0,0,1
31.0,5.0,59.0,2.0,2.4,0,0.0,3,0,0,0
62.0,38.0,18.0,1.0,0.0,0,0.0,2,1,0,0
27.643751,2.0,64.47539,3.0,0.63230765,0,0.0,2,0,0,1
37.54441,11.0,190.5265,1.0,4.274999,1,338.56863,3,1,1,1
59.0,35.0,21.0,2.0,0.2,0,0.0,1,0,0,1
48.0,22.253052,76.068375,2.0,2.5,0,0.0,3,0,0,1
44.993107,19.964779,42.0,1.0,1.0,0,0.0,3,0,0,0
36.01883,10.0,13.706173,1.0,0.5,0,0.0,3,0,0,0
46.0,22.0,111.81013,4.0,0.5,1,0.0,1,1,0,1
54.0,31.0,22.0,1.0,0.3221859,0,118.374245,1,0,0,0
50.173145,25.0,141.584,1.0,0.6,0,0.0,1,0,0,1
54.135075,25.0,50.491444,3.0,1.2748272,0,177.68863,3,0,0,1
65.31304,40.30381,11.693912,4.0,0.2,0,0.0,3,0,0,1
45.0,19.06964,35.0,2.0,0.81181186,0,94.45666,1,0,0,0
