RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
6104.438,15688839.0,844.8358,0,0,31.0,8.0,148411.0,1.0,0,1,27065.426,1
2862.7678,15633782.0,763.93024,0,2,28.0,2.0,0.0,2.0,0,0,122872.59,0
4311.0405,15780310.0,699.2159,0,2,30.310274,5.0,73760.95,1.0,1,0,121974.15,1
8161.7334,15639992.0,665.85504,0,0,35.0,9.0,127096.016,1.0,0,1,102239.68,0
3820.0232,15625004.0,738.8372,0,0,39.0,10.0,114345.35,1.0,0,1,109525.75,1
533.4885,15694666.0,726.9779,0,2,45.0,3.0,0.0,2.0,0,0,86075.45,0
7003.837,15658987.0,645.0,0,1,29.0,10.0,129711.14,1.0,1,1,185090.52,1
3021.3599,15724712.0,662.0898,0,2,23.0,9.0,0.0,1.0,0,0,134402.44,0
2309.8506,15578260.0,726.34174,1,0,51.0,3.0,112157.766,1.0,1,1,67110.625,1
1700.1165,15743590.0,742.444,0,1,41.0,7.0,166154.02,1.0,0,0,132927.42,0
9314.429,15659097.0,682.3328,0,2,43.0,5.0,0.0,2.0,0,1,174553.5,0
3951.4387,15763809.0,724.3634,0,1,25.329044,6.0,128051.4,1.0,0,1,142789.25,1
7316.4443,15706197.0,638.6955,0,0,39.0,9.0,0.0,1.0,0,1,59039.27,1
4718.583,15673734.0,583.8258,0,1,38.0,7.0,125788.43,2.0,1,1,25006.785,0
9407.14,15594453.0,842.6565,0,0,29.0,5.0,80398.766,1.0,0,1,132704.47,0
2934.354,15768718.0,636.92737,0,2,32.0,5.0,143155.84,2.0,1,0,48754.434,1
4100.491,15619710.0,672.54034,1,1,23.0,1.0,119369.92,1.0,1,0,184987.77,1
1946.225,15567752.0,652.95825,0,1,38.0,2.0,142188.84,1.0,1,1,194318.53,1
2356.6135,15754480.0,708.81396,0,2,35.0,8.0,102398.02,1.0,0,1,149121.88,1
6620.699,15799883.0,850.0,1,2,45.144993,0.0,173209.69,1.0,0,0,182457.78,1
5340.0996,15743197.0,564.562,0,2,40.8195,4.0,0.0,2.0,0,1,140325.12,1
2435.3613,15570541.0,709.61896,0,0,56.54126,3.0,156028.89,1.0,1,0,33306.035,1
1154.7965,15659898.0,578.277,0,2,27.0,9.0,92631.65,1.0,0,1,163892.47,0
7409.664,15774739.0,657.7254,1,0,49.181988,2.0,0.0,3.0,1,1,67692.664,0
7412.857,15677164.0,711.63605,1,1,33.0,4.0,129624.26,2.0,1,1,196713.34,0
4750.653,15667719.0,725.39343,0,0,39.0,0.0,0.0,2.0,0,0,103583.23,0
864.4369,15644285.0,676.49744,0,0,37.0,10.0,0.0,2.0,1,1,83970.58,0
6824.139,15744560.0,703.1495,0,0,34.43346,1.0,0.0,1.0,0,1,192385.5,1
5738.366,15671050.0,641.849,1,0,46.0,0.0,147259.3,1.0,0,1,130908.01,0
9627.945,15583639.0,707.9993,0,0,50.0,9.0,88327.84,1.0,1,1,158529.58,1
2504.336,15684709.0,643.7793,0,1,38.0,9.0,149716.31,1.0,0,0,161625.52,0
6276.1143,15780312.0,716.51624,0,1,32.0,10.0,112626.32,2.0,1,1,149812.53,1
2120.2385,15810240.0,688.7111,1,2,41.98559,6.0,140103.19,1.0,1,0,198256.67,0
1263.804,15774560.0,650.9344,0,0,41.0,2.0,79226.93,2.0,0,0,17471.354,1
943.44745,15725931.0,664.0385,0,0,43.0,9.0,167312.6,1.0,1,1,114586.36,0
2643.037,15694347.0,599.33905,0,1,33.0,2.0,166362.61,1.0,1,0,8980.152,1
3706.042,15713879.0,774.562,0,0,38.0,7.0,104956.91,2.0,0,1,60616.484,0
1803.0879,15812769.0,454.13315,0,2,43.0,9.0,70696.2,2.0,0,0,164477.95,1
1387.1505,15729768.0,677.6682,0,0,30.0,8.0,145995.4,1.0,1,1,599.32227,1
4643.4053,15703244.0,564.1084,1,0,47.453045,3.0,0.0,2.0,0,0,76989.59,1
3742.6228,15692361.0,777.8577,1,0,30.0,8.180821,128772.83,1.0,1,0,79155.63,0
6054.603,15705118.0,640.0,0,0,40.0,3.0,0.0,2.0,0,1,160872.56,1
3357.041,15606439.0,489.89975,0,0,25.0,5.0,84364.91,2.0,0,0,160622.44,1
8121.2866,15670969.0,499.69308,0,0,36.0,8.0,151401.33,1.0,0,0,162757.45,0
4672.833,15608387.0,627.5471,0,2,50.0,5.0,125391.62,1.0,1,1,182773.58,1
6120.215,15743928.0,759.2866,0,0,35.0,5.0,0.0,1.0,0,1,86149.09,0
1199.7899,15783350.0,794.919,0,0,37.0,9.0,0.0,2.0,0,1,18201.896,1
5903.733,15749134.0,617.1068,0,0,31.0,10.0,0.0,2.0,0,1,34803.82,1
7434.54,15815100.0,547.3652,0,1,26.0,8.0,101007.484,1.0,0,1,54516.168,0
2257.4395,15697879.0,764.31085,0,0,42.0,5.0,133577.45,1.0,1,1,643.7331,0
2444.1228,15707612.0,802.5726,0,1,57.621243,9.0,167775.19,1.0,1,1,122205.9,1
700.44183,15575763.0,614.74927,0,2,33.0,4.0,70030.88,2.0,1,1,100541.87,0
7642.098,15667680.0,586.2966,0,2,18.119066,4.0,100025.18,1.0,0,0,61959.72,0
965.8883,15700736.0,564.42377,0,2,36.0,2.0,109086.555,1.0,1,1,123499.164,1
5395.471,15683752.0,740.76886,0,1,40.0,10.0,104924.43,1.0,0,1,145704.84,0
7543.225,15566559.0,571.86383,0,0,66.49474,7.0,0.0,2.0,1,0,180561.78,0
5062.0557,15705093.0,642.3728,0,0,40.0,9.0,112509.805,1.0,1,1,120521.74,1
2712.7627,15669926.0,490.04382,0,2,42.350136,5.0,173943.36,2.0,0,1,12488.433,0
7322.65,15661326.0,571.78217,0,0,46.0,2.0,102776.09,1.0,0,0,85172.18,1
920.6455,15806772.0,850.0,0,1,41.0,3.0,120971.49,1.0,1,0,184912.16,1
1545.0981,15588188.0,694.2774,0,2,36.0,8.0,125547.266,1.0,1,0,11785.91,1
1008.3948,15600916.0,555.34534,1,2,33.91996,2.5897374,0.0,3.0,1,1,189460.77,0
3385.5215,15751735.0,686.0,0,0,31.0,3.0,0.0,2.0,1,1,25905.416,1
9876.339,15634606.0,599.1436,1,1,37.0,6.0,116094.08,2.0,1,1,63065.527,0
2402.802,15623850.0,612.84174,0,1,42.0,10.0,95382.87,1.0,0,1,75772.805,1
456.75165,15783443.0,618.9065,0,1,50.0,3.0,167849.78,2.0,1,1,55626.895,1
907.5893,15778177.0,683.21954,0,1,32.0,3.0,80465.61,1.0,1,1,116338.69,1
4764.1323,15598335.0,636.8934,0,2,60.8035,9.0,140660.1,1.0,1,0,44297.25,1
6439.9033,15715641.0,785.7218,0,0,49.0,6.0,116824.26,2.0,0,1,145812.64,1
3827.7385,15651573.0,744.1828,0,2,37.0,1.0,0.0,2.0,1,1,92981.234,0
2272.737,15661496.0,560.17804,0,1,31.0,6.0,0.0,2.0,1,0,122579.03,1
3751.293,15673164.0,579.8741,1,2,61.385265,2.0,0.0,1.0,0,0,143356.08,1
6969.4043,15668863.0,604.28143,0,0,36.0,3.0,109029.695,1.0,0,1,92833.42,1
5020.758,15706334.0,636.6163,0,1,60.0,9.0,140108.44,2.0,0,0,19074.338,1
5978.4854,15700254.0,499.61038,0,2,51.0,10.0,128442.46,1.0,1,1,186668.14,1
6853.4336,15791479.0,717.7236,1,1,49.0,8.0,178907.61,1.0,0,0,158882.45,0
4090.4744,15570631.0,706.58875,0,1,34.427856,2.0,116616.586,1.0,0,1,130569.36,1
6458.1685,15781987.0,782.6573,0,1,41.0,9.0,98844.05,1.0,1,1,40047.293,1
