index,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left
3312.2795,1,772,2,4,0,5,1,1,13.42,34.0
5772.0,2,874,2,0,0,5,4,1,6.42,38.23389
5942.0,1,1222,5,2,0,5,2,1,27.161629,18.946423
12253.693,4,1093,2,0,0,2,1,1,5.819703,1.0
5950.0254,5,1531,5,0,2,2,2,1,2.25,5.0
5955.0,2,844,2,0,0,5,3,1,6.58,34.0
5262.449,2,1009,5,1,2,4,2,1,2.17,4.0
13406.398,1,812,2,1,0,4,4,1,24.25,6.0
10559.214,5,1549,2,4,0,5,0,1,13.449548,10.531604
5954.0,2,1088,2,0,0,5,4,1,7.100362,24.0
5772.0,2,1028,5,2,0,3,2,1,8.67,20.0
3100.0,1,764,2,4,0,4,4,1,22.340343,39.0
4526.596,1,121,2,2,0,2,1,1,24.613293,22.0
1998.0,0,74,2,1,0,5,1,1,12.42,37.0
4781.189,5,1474,2,0,0,5,0,1,8.17,42.0
12980.07,1,1021,5,2,0,5,2,1,6.75,7.0
13153.581,5,1554,2,2,0,0,3,1,16.411915,7.0
2410.0,3,78,2,2,2,5,5,1,2.17,32.0
5943.3154,5,1557,2,0,2,0,5,1,2.17,7.0
11841.086,3,844,2,1,0,0,5,1,6.67,17.0
11270.391,5,1464,2,2,2,5,1,1,5.67,8.0
4896.0,2,1006,5,5,2,5,2,1,2.17,22.858177
2427.085,3,120,2,1,2,0,3,1,4.92,23.0
2409.0,5,1530,2,0,2,0,5,1,2.17,25.0
6643.891,3,518,2,2,2,2,1,1,2.83,7.0
7421.5063,5,1443,2,1,0,2,5,1,11.08,46.0
4792.374,5,1491,2,2,0,5,5,1,26.06281,27.0
4209.0,1,859,2,2,0,4,0,1,14.83,17.0
5954.0,1,1035,2,2,0,2,5,1,25.08,40.0
4632.589,5,1533,2,4,0,5,1,1,12.962304,32.0
3090.0,4,89,2,1,2,4,5,1,2.25,18.0
9840.0,3,35,2,0,0,4,4,1,6.58,28.0
10680.0,1,1559,2,4,1,5,1,1,12.25,17.0
2410.0,2,1038,2,0,2,2,5,1,2.25,19.0
5772.0415,5,1551,2,1,0,0,3,1,5.75,37.0
11515.671,5,1553,2,5,0,4,1,1,20.215025,7.0
2476.3105,0,1211,2,2,0,5,4,1,7.42,31.0
6529.0938,5,1554,2,2,0,4,4,1,13.58,22.0
6107.396,2,1007,2,0,0,3,0,1,8.17,26.0
14684.311,5,1536,2,5,1,4,4,1,12.200072,3.0
5955.0,3,79,2,1,0,4,5,1,5.5,9.0
14364.739,5,1550,2,1,0,2,1,1,13.0,15.0
4979.0,0,1211,2,2,0,2,4,1,16.39079,42.0
3013.0,0,1202,2,2,1,5,0,1,6.83,46.0
5816.951,1,873,2,2,0,4,4,1,14.5,33.0
2404.1365,5,1523,2,2,2,2,5,1,2.25,31.0
6172.0,2,1013,2,1,0,2,4,1,8.17,26.0
7575.539,4,1410,5,2,0,4,2,1,12.803227,7.0
3610.0,0,1225,2,2,0,1,1,1,13.731161,26.0
6395.0,5,1539,2,4,0,1,3,1,22.84601,14.0
16210.402,1,877,2,4,0,5,3,1,10.58,17.0
9787.596,1,723,2,2,0,1,1,1,13.0,19.0
3992.5063,2,1032,2,1,0,0,0,1,5.75,21.0
5955.0,2,859,2,0,2,5,5,1,2.25,8.0
4496.0,2,1069,2,1,0,5,1,1,15.0,38.0
12062.553,1,956,2,0,1,5,0,1,10.25,12.0
3988.0,1,786,5,1,0,2,2,1,16.984024,24.528503
4209.0,4,1406,5,1,0,0,2,1,8.33,21.0
12034.21,1,723,2,2,0,2,4,1,23.436892,8.0
12150.0,5,1448,2,4,0,0,0,1,4.17,14.0
7425.0,2,515,5,2,0,5,2,1,5.42,13.0
6159.416,2,987,2,4,0,0,4,1,4.25,40.0
2339.0,3,981,5,0,2,0,2,1,2.17,28.0
4496.0,1,820,2,4,0,4,4,1,20.83,34.0
5556.6475,5,1031,5,4,0,5,2,1,12.219418,28.0
4230.0,3,944,2,5,0,1,3,1,8.92,46.0
13939.846,3,1388,5,1,0,0,2,1,5.4933085,4.0
