date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
276.0,2.0835066306370686,6.350153946914286,1936.7045943447106,154849.46294204437,3.3995149702993253,1.0,1.0,2.0,13.0,1741.28355165508,290.23722957521176,1941.1525708262147,-122.97651610125024,98166.0,47.2384610626043,-122.3272927592853,969.166117357523,68874.18255768491,540500.0
210.0,2.0843210270844175,7.881125044847032,8073.783213949703,114681.95345129314,1.1322616017230782,0.0,1.0,5.0,6.0,3718.1111295574647,1751.9125183531576,1976.212158638641,-210.9623655472182,98136.0,47.23746155502553,-121.35156448618865,1019.519712034378,103633.93410585637,565000.0
364.0,1.7162494802752286,9.332892783546955,347.98597878446395,159400.22717225226,3.3428763898388407,1.0,2.0,2.0,3.0,4336.113045882066,180.55212089747891,1953.443951075329,-149.18517518686429,98105.0,47.327257037549145,-121.70116494881776,717.3640518176945,73983.0099553001,920000.0
100.0,3.038988850225733,8.057005774731572,7541.485041046738,156984.39000272434,3.4428546528173984,0.0,2.0,1.0,13.0,3650.9964552125366,107.33822023323424,1972.5924573647485,1342.9948081923528,98109.0,47.67889141782608,-122.02400529127353,694.8372646869051,31055.11451734843,725000.0
255.0,1.3279771163291105,2.053692433353304,9189.973207723078,5800.790771107599,2.5585457628992714,0.0,0.0,1.0,13.0,4005.0804975006263,1618.2963082527822,1943.6077502005228,-188.3891836572152,98112.0,47.24166142952507,-121.48886760751888,941.7826447376972,45133.5795407807,238000.0
184.0,6.02655537619902,1.8527885360187022,8022.959131456243,54006.515793768136,1.023650501874807,1.0,3.0,1.0,8.0,3796.2495280019452,36.35158784889084,1955.843008947154,1394.322089671213,98059.0,47.21649191443471,-122.04715240631019,814.6292709015098,18319.632825132037,370000.0
198.0,2.9509312913130716,6.180194193899693,111.55537856211147,165716.38566079983,1.4781482668656276,0.0,1.0,2.0,3.0,1206.031644472764,568.9139500317714,1976.8944186855451,1633.0225307873793,98136.0,47.60707797989116,-121.44611651893119,922.1736053105876,102843.6499846438,560000.0
378.0,3.042662958577332,7.614545867412602,3577.139570765042,6218.33156062994,1.0246480743827353,0.0,0.0,2.0,6.0,3596.8544576580275,606.5102164176063,1954.5906975637715,-111.27479327311089,98039.0,47.25238630591326,-122.2347308374791,736.9005745296973,47528.97867241826,450000.0
73.0,3.0505259323090916,-0.006609170195134018,8131.310523688597,62851.93847967582,3.513641154892768,1.0,0.0,4.0,13.0,1722.793265988566,-58.846883243244356,1931.5892319337122,-86.46425380952536,98042.0,47.25222210822629,-121.43119474155671,767.7389776012469,5880.828436888117,705000.0
315.0,2.9564739742803345,1.8003925131413683,356.8308849691746,155601.86188015048,3.41789172378147,1.0,0.0,1.0,4.0,3837.2204748316694,549.6227582978933,1949.7595748988274,1274.7172983197654,98168.0,47.30247810732466,-121.30427904532128,764.7707143488411,51465.19623103011,865000.0
36.0,3.042605991155114,7.280354473985477,286.06164919817525,336011.55135908595,3.3374987346881744,0.0,2.0,1.0,13.0,3803.944687854369,799.4313031241068,2029.905735356097,-118.26040957242587,98108.0,47.23006536871984,-122.33412616157683,909.2697643965637,107065.16473360626,329950.0
235.0,0.9054195032200484,0.70531198233158,791.3055541868039,46003.007423339965,3.375956629115844,1.0,1.0,2.0,12.0,3566.1622234258225,1819.8383036705445,1941.7294293547284,1483.7432781863265,98022.0,47.338435831730116,-121.33410818809317,1836.2291073635765,71986.61860807237,419990.0
123.0,2.9590927144291403,3.231200359266843,2801.170054067982,51378.66447669972,3.3670366764213164,0.0,2.0,3.0,3.0,3742.2888352148593,1645.097395381546,2002.4748882397532,1348.0344071237205,98011.0,47.313786846867124,-121.41583789160954,3810.6067137955997,108102.97386234767,515000.0
278.0,2.0842989088681825,0.20091447569496115,5901.1065997143605,295375.691589668,3.537529759638318,0.0,1.0,4.0,3.0,3783.9908207514277,1764.1241827883368,1975.6825249679873,1802.6457380125898,98168.0,47.255431614334164,-121.37481966272229,1294.3877726687813,45796.09721567965,263850.0
317.0,2.9550089578728667,2.0259836424361306,336.20870730106424,110655.60811538948,2.5627905434079734,1.0,1.0,1.0,13.0,3949.0043404560565,424.52085251650215,1942.9731644497076,-136.5317465620444,98133.0,47.31500908331709,-121.65181800485098,690.5915771105355,71599.25927553604,651000.0
106.0,2.9580250103856405,7.947149302824701,3610.712618668767,-261.2068178286173,3.5243008169203893,0.0,1.0,4.0,3.0,2086.2244234737605,240.88505671991965,1927.484694060603,1505.8205940386504,98065.0,47.415310180330025,-121.41822969701839,451.008935483173,19170.633238719933,805000.0
228.0,4.4980733902596075,6.407903748530033,10010.8244338844,64957.925701181135,3.431729736010268,0.0,4.0,5.0,3.0,3556.686358299026,464.35797827910744,2001.6164515215366,-36.87187348129296,98166.0,47.23475055504719,-121.30489061256515,737.1252536539762,81226.88195880124,455000.0
177.0,2.9597283564117802,1.9968556053572535,9462.369382073597,72072.73742145902,2.5358112151914525,1.0,4.0,1.0,13.0,3984.944142769242,1637.7174294201084,2003.319851354632,-49.37044271806718,98028.0,47.24015776421082,-122.33237816900478,607.5779768374133,102004.72746683737,381000.0
141.0,3.0391562666095195,7.844992571926534,8003.856974178483,62758.96861229404,3.3834846382769905,1.0,0.0,1.0,4.0,3984.2534910348063,385.39722125009126,1938.2765215486513,1318.0584941469506,98011.0,47.677495597827054,-121.6886099336759,3954.8782651619404,66625.56506777642,395000.0
305.0,3.0403035714698823,1.2759355776752621,9518.996145983014,64687.151647060804,3.411002807609949,0.0,0.0,2.0,4.0,1421.8939176557176,274.8691733906139,1999.1467607132877,79.90150900961862,98011.0,47.22815490743944,-122.29060351441044,3988.8581037053377,22695.883530152318,817500.0
51.0,3.9516982274976904,6.439247202253276,9111.790196192043,51910.67727974671,1.9727913231079124,1.0,4.0,1.0,3.0,3811.3600352779745,1030.7005553810043,2026.9821852041255,-184.59187299088902,98146.0,47.48491149684097,-121.38019651892431,747.3285460633834,80179.88417571585,285000.0
212.0,3.049278490144167,1.1821198488694338,579.5044600034535,-869.0062712673215,3.3590037825442662,1.0,1.0,1.0,5.0,4183.339966764749,368.97889548057947,1938.0105316039537,-59.07415241049288,98188.0,47.22704563890479,-122.32708315334132,709.2761528606767,103125.29230025786,240000.0
73.0,2.958410955171066,1.4870608817487605,7511.998074380502,13513.50385935309,3.33461673317262,0.0,0.0,5.0,3.0,4056.9787909125153,297.11069350930154,1988.6001390876042,73.54000786151259,98005.0,47.62147923033015,-121.7123609294681,3638.0049962381277,72066.12697456844,979000.0
60.0,2.9611253633845083,7.507879578157838,278.3486541572701,194643.93405619843,1.9711906083340962,0.0,1.0,3.0,13.0,4029.4746182115978,866.3003442741672,1984.5739908427074,-211.09730991910467,98039.0,47.23435942505598,-122.232314505986,688.3538152255938,115786.531988858,265000.0
352.0,3.0448667325320535,7.451793618541269,7669.505654839647,204379.84524851642,3.4538751990101066,0.0,4.0,1.0,4.0,4045.4242890684895,622.3004304302082,1954.4251388625141,-99.01444789405554,98019.0,47.23764934175384,-121.41072061326997,597.5902321036575,111808.31446126202,210000.0
311.0,2.0862513863862318,8.427397491265356,353.63755417976506,4955.730535189793,3.3644268946549394,1.0,0.0,1.0,13.0,3568.192810530022,522.200815630341,1974.8500618798787,-81.67786297182626,98198.0,47.381246779962325,-121.47360529598193,684.006366182643,52278.861306763036,484000.0
33.0,3.0390294141855896,1.334836413860135,364.8498922456689,64064.92631631228,1.9728237647214368,0.0,2.0,3.0,4.0,3840.0544496797497,1768.5829872362467,1956.0407099708982,1275.754100979079,98103.0,47.52231154467355,-121.49950126757298,2680.967268764737,104332.66771638882,610000.0
191.0,2.0828006776190797,5.5297641639264405,4979.802260087276,27267.431111842514,2.483015164208849,1.0,3.0,1.0,3.0,3652.85485965364,138.94965060269624,1929.8617072277561,-227.26582368550103,98008.0,47.233073260244915,-122.4075072899004,1161.0256343238477,50440.235245750126,676000.0
